userID,agent_utterance,dialogue_act
F01_001, これから「食べ物」について話しましょう！,op
F01_002, ご飯系か、お菓子やスイーツではどちらが好きですか？,qw
F01_003, 食べるのか，見たり作ったりするののどちらが好きなんですか？,qw
F01_004, 食べるのが好きなんですね。おすすめの美味しいものはありますか？,qy
F01_005, どういったところが好きなんですか？,qw
F01_006, それは最近食べられたんですか？,qy
F01_007, いいですね，私も食べてみたいです！,pa
F01_008, 今現在，「ダフィン」が流行っているようですよ．ご存知ですか？,qy
F01_009, 今現在，「ダフィン」が流行っているようですよ．ご存知ですか？,qy
F01_010, ドーナツとマフィンのハイブリッドスイーツで，ドーナツで作られたマフィンのようですよ？,io
F01_011, サクサクとした表面で，中はふんわり食感のようです．美味しそうですね！,io
F01_012, ダフィンを食べたことはありますか？,qy
F01_013, 食べてみたいですか？,qy
F01_014, 日本に上陸したばかりみたいです。まだまだ見かけることは少ないのかもしれませんね？,io
F01_015, 私も食べてみたいものです！,pa
F01_016, これから「家電」について話しましょう,op
F01_017, 最近電気屋さんには行きましたか？,qy
F01_018, 注目の家電はありますか？,qy
F01_019, それはなんですか？,qw
F01_020, 何故注目の家電なんですか？,qw
F01_021, 好きな家電メーカーはありますか？,qy
F01_022, なんていうメーカーなんですか？,qw
F01_023, どの家電が一番好きなんですか？,qw
F01_024, 次に買おうと思っている家電はありますか？,qy
F01_025, それはなんですか？,qw
F01_026, いいですね．わたしも一度使ってみたいです！,pa
F01_027, 最近では人工知能を搭載した家電が注目されているようですね．ご存知ですか？,qy
F01_028, 掃除機をはじめ，洗濯機や電子レンジなどにも搭載されているようです？すごいですね．,io
F01_029, 人工知能というとロボットをイメージするのですが，これらは全然ロボットの形をしていないんですね．意外です．,io
F01_030, 人工知能を搭載した家電を持っていますか？,qy
F01_031, 人工知能が搭載された家電を，使用したことはありますか？,qy
F01_032, 使い心地はどうですか？,qw
F01_033, こういった家電を使用したいと思いますか？	,qy
F01_034, いいですね，私も使ってみたいです！,pa
F01_035, これから「ゲーム」について話しましょう,op
F01_036, 最近ゲームはしますか？,qy
F01_037, ゲームは良くする方なんですか？,qy
F01_038, では、やったことのあるゲームの中で、もう一度やりたいものはありますか？,qy
F01_039, そうですか，それは残念です・・,oa
F01_040, 最近では，任天堂から新しく発売される「任天堂スイッチ」が注目されているそうですよ．ご存知でしたか？,qy
F01_041, 2017年3月発売予定のようですよ？,io
F01_042, 以前公開されたトレーラーによると，マリオカート，スプラトゥーンなどがソフトで紹介されていたようです！,io
F01_043, これらのゲームはやったことがありますか？,qy
F01_044, 「任天堂スイッチ」を買おうと思いますか？,qy
F01_045, 公開されているラインナップの中で欲しいゲームはありますか？,qy
F01_046, そうですか，では一度独自で調べてみますね！,oa
F01_047, これから「銃」について話しましょう,op
F01_048, 銃を見たことはありますか？,qy
F01_049, 銃か，射撃や射的ならどちらが好きなのですか？,qw
F01_050, 射撃や射的のどういったところが好きなのですか？,qw
F01_051, どういったところでやったことがあるんですか？,qw
F01_052, またの機会があればやってみたいですか？,qy
F01_053, なるほど，楽しそうですね．私も一度やってみたいです！,pa
F01_054, とあるモデルガンのランキングによると、ライフル・SMG部門で一番人気のあるものは、東京マルイのHK417、アーリーマリアントだそうです。ご存知でしたか？,qy
F01_055, HK417は、イギリス、オーストラリア、フランスなどの、数カ国の軍隊や法執行部隊で使用されているようですね？,io
F01_056, ダイアルはバレル同軸式のドラムタイプで、操作性も良いそうです！いいですね,io
F01_057, ご存知でしたか？,qy
F01_058, そうですか。それは残念です・・,oa
F01_059, これから「音楽」について話しましょう！,op
F01_060, 最近音楽は聞きましたか？,qy
F01_061, 聞くとしたら、邦楽，洋楽，クラシック，それ以外のどれですか？,qw
F01_062, クラシックが好きなんですか。おすすめの作曲者やきょくってありますか？,qy
F01_063, その作曲者のどういうところが好きなんですか？,qw
F01_064, おすすめの曲はありますか？,qy
F01_065, その曲のどういうところが好きなんですか？,qw
F01_066, そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！,pa
F01_067, ベートーベンの、通称「第く」、は、正式名称は、交響曲第9番ニ短調作品125というようです！,io
F01_068, 年末にこの曲を聴くことが多いと思いますが、これは戦後の日本の貧しさが影響してるようですよ？,io
F01_069, 第くはコーラスも参加するため出演者の総人数が多く，出演者の知人も客として呼べばふだんより多くの来場者が期待できるからだそうです！,io
F01_070, 第くを聞いたことはありますか？,qy
F01_071, いつ聞かれたんですか？,qw
F01_072, そうですか，一度生で聞いてみたいものですね！,pa
F01_073, これから「鉄道」について話しましょう,op
F01_074, 電車は好きですか？,qy
F01_075, 電車に乗るのがすきなんですか？それとも見るのが好きなんですか？,qw
F01_076, どういったときに電車を利用するんですか？,qw
F01_077, 駅弁などは買ったことがありますか？,qy
F01_078, 駅弁というのは美味しいんですか？わたしは食べたことがないのでわからないのですが,qy
F01_079, そうなんですか。それは一度食べてみたいものです！,pa
F01_080, 臨時寝台特別急行列車であるトワイライトエクスプレスが運行終了したそうですね．ご存知でしたか？,qy
F01_081, トワイライトエクスプレスは、1989年7月21日に運転を開始し、平均所要時間は、下りだと約22時間だそうです！長いですね,io
F01_082, 今年の春からは、トワイライトエクスプレスみずかぜとして、トワイライトエクスプレスの名称は、受け継がれるそうです！,io
F01_083, ご存知でしたか？,qy
F01_084, のってみたいですか？,qy
F01_085, そうなんですか。一度、乗ってみたいものですね！,pa
F01_086, これで対話を終了します．ご協力ありがとうございました・・,oa
F02_001, これから「写真」について話しましょう！,op
F02_002, 写真を撮りに行ったり見たりすることはありますか？,qy
F02_003, 写真はよく撮りに行くんですか？,qy
F02_004, どんな写真が好きなんですか？,qw
F02_005, 写真はどういったところに撮りに行くんですか？,qw
F02_006, 今撮りに行きたいと思っているところってありますか？,qy
F02_007, なるほど、それは私も行ってみたいです！,pa
F02_008, 京都で写真を撮る際に人気の場所として，清水寺や金閣寺が人気のようですよ！,io
F02_009, 清水寺や金閣寺には行ったことはありますか？,qy
F02_010, その時写真は撮られたんですか？,qy
F02_011, いいですね，また行ってみてはいかがですか？,su
F02_012, これから「銃」について話しましょう,op
F02_013, 銃を見たことはありますか？,qy
F02_014, 銃か，射撃や射的ならどちらが好きなのですか？,qw
F02_015, 射撃や射的のどういったところが好きなのですか？,qw
F02_016, では本物でなくてもいいので、銃を見たことはありますか？,qy
F02_017, どういったところでやったことがあるんですか？,qw
F02_018, なるほど、私も機会があれば一度やってみたいです。,pa
F02_019, とあるモデルガンのランキングによると、ライフル・SMG部門で一番人気のあるものは、東京マルイのHK417、アーリーマリアントだそうです。ご存知でしたか？,qy
F02_020, HK417は、イギリス、オーストラリア、フランスなどの、数カ国の軍隊や法執行部隊で使用されているようですね？,io
