theme,freq,agent_utterance
default,58, ありがとうございました・・
default,18, ありがとうございます。
default,6, ありがとうございます。参考にさせていただきます。
default,3, いいですね，とても興味深いです！
default,9, すごいですね。
default,5, すごいですね！
default,1, すごい！
default,4, そうですか、なかなかですね。
default,1, そうですか、残念です・・
default,4, そうですね、わかります。
default,5, そうですね。
default,8, そうですね・・ぜひ参考にさせていただきます。
default,1, そうなんですか．
default,3, そうなんですか．それでは一度独自で調べてみたいと思います．
default,1, そうなんですか．私も独自に調べてみますね．
default,57, そうなんですね。
default,1, そうなんですね，新しい知識が増えました，今度知りあいにもすすめてみたいと思います！
default,1, そうなんですね．新しい知識が増えました！ありがとうございます！
default,2, そのほかで、おすすめのものはありますか？あったら教えてください．
default,6, そのほかにおすすめのものはありますか？
default,5, それのどういったところが好きなんですか？
default,3, それは大変ですよね。
default,6, それは面白そうですね。
default,2, たのしそうですね。
default,3, どういったところが好きなんですか？
default,128, なるほど、そうなんですね。
default,2, なるほど、そうなんですね・・
default,7, なるほど、それは面白そうですね。
default,4, なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！
default,7, なるほど、よくご存じですね・・
default,16, なるほど、勉強になります・・
default,5, なるほど、面白そうですね！
default,47, なるほど。
default,2, ほかには、ありますか？
default,31, もう少し詳しく教えていただいていいですか。
default,3, よくご存じですね。
default,19, 具体的にはどういったものですか？
default,9, 具体的には何ですか？
default,13, 具体的には教えてもらえますか？
default,3, 具体的に教えてください？
default,20, 具体的に教えてもらっていいですか？
default,1, 大変ですよね。
default,19, 本当ですか！
default,10, 楽しそうですね！
default,2, 面白いですよね。
	
スポーツ,19, 1964年以来56年ぶりの日本でのオリンピック開催で，たくさんの競技が行われるのでいってみたいものですね！
スポーツ,20, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？
スポーツ,9, いいですね。テレビ観戦も楽しそうですね！
スポーツ,4, これからの季節は暖かくなるので、散歩などは気持ちがいいですよね。
スポーツ,3, そうですか。そのスポーツはテレビで鑑賞はされますか・・
スポーツ,4, そうですか。テレビでの観戦はなされるんですか？
スポーツ,16, そのほか健康のために、気をつけていることはありますか？
スポーツ,2, そのスポーツのおすすめポイントを教えてください＾＾
スポーツ,1, どんなスポーツをされましたか？
スポーツ,5, なにかおすすめのスポーツ観戦はありますか？
スポーツ,10, なるほど、健康的で、ステキですね・・
スポーツ,2, なるほど、面白そうですね，機会があればわたしも見てみたいです！
スポーツ,15, オリンピックは今までに見たことはありますか？
スポーツ,9, スポーツはするほうが好きですか？それとも見るほうが好きですか？
スポーツ,1, スポーツはよくするんですか？
スポーツ,6, スポーツをする目的は何ですか？
スポーツ,16, 健康のため、とか、リフレッシュするため、とかですか？
スポーツ,3, 好きなスポーツはなんですか？
スポーツ,16, 日本で開催されるオリンピックを、見にいく予定はありますか？
スポーツ,7, 最近スポーツはしましたか？
スポーツ,7, 競技はなにをご覧になりますか？

音楽,7, おすすめの曲はありますか？
音楽,3, おすすめの歌手やきょくってありますか？
音楽,3, がっきは何を演奏するのですか。
音楽,2, すごいですね。一度聞かせていただけるとうれしいです。
音楽,2, そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！
音楽,7, そのきょくのどういうところが好きなんですか？
音楽,8, そのほか「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？
音楽,1, その作曲者のどういうところが好きなんですか？
音楽,10, その歌手のどういうところが好きなんですか？
音楽,10, とても楽しそうですね。
音楽,4, なまで演奏をきくと、迫力があって、感動するみたいですね！
音楽,3, わたしも実際に、演奏をきいてみたいものです。
音楽,9, カラオケでよくなにをうたうのですか？
音楽,3, カラオケで歌ったりするのですか？
音楽,4, カラオケに行くときはお友達と行きますか？
音楽,14, カラオケは好きですか？
音楽,6, コンサートとかには行きますか？
音楽,6, 最近音楽は聞きましたか？
音楽,22, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？

食事,1, いい思い出だったようです。
食事,2, おばあちゃんがよく家で出してくれていたと言っていました。
食事,9, お友達とランチに行ったりしますか？
食事,8, そうですか、とても美味しそうですね・・
食事,2, そうですか。最近はまっている食べ物はありますか・・
食事,12, それは「最近」食べられたんですか？
食事,8, たくさんおしゃべりをすると、楽しくて、ストレスが発散できるようですね。
食事,17, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
食事,4, とても美味しそうですね。今度知りあいにもすすめてみようと思います・・
食事,8, どこで食べられたんですか・・
食事,7, どんなところに行きますか？和食ですか洋食ですか？
食事,20, なるほど、その中でもおすすめのスイーツはありますか？
食事,11, なるほど、それは美味しそうですね・・
食事,23, なるほど、普段はどこでスイーツを買いますか？
食事,1, 具体的にどういう味か教えてください。
食事,24, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
食事,30, 甘いものと、からいものどちらがお好きですか？
食事,8, 私の友人はあんこ系が好きだそうです。あずきときなこは、体や肌にいいそうで、よく食べてるそうです・・
食事,10, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？

旅行,15, 「温泉」などリフレッシュするためにいきますか？
旅行,23, さいきん旅行には行きましたか？
旅行,5, すごい！面白い体験をされましたね!
旅行,5, その旅先で何かハプニングはありましたか!
旅行,23, その旅先で何が一番楽しかったですか？
旅行,22, その旅先で美味しい食べ物はたべましたか・・
旅行,5, たとえば、たてものをみる、とか美術館にいく、とか、おいしいものをたべるとか・・
旅行,7, なるほど、それはリラックスできますね。
旅行,10, なるほど、それは素晴らしい経験ですね。
旅行,16, ほかには何か面白いことはありましたか？
旅行,23, 今までいった「旅行」で特におすすめの場所はありますか？
旅行,4, 先日、旅行にいったしりあいが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです・・
旅行,4, 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？
旅行,4, 旅行にはよく行かれますか？
旅行,11, 旅行に行くときはなにか目的はありますか？
旅行,10, 旅行はどこに行ったことがありますか？
旅行,20, 貴重な体験談をありがとうございました。
