theme,freq,agent_utterance
default,2, そのほかで、おすすめのものはありますか？あったら教えてください．
default,6, そのほかにおすすめのものはありますか？
default,5, それのどういったところが好きなんですか？
default,3, どういったところが好きなんですか？
default,2, ほかには、ありますか？
default,19, 具体的にはどういったものですか？
default,9, 具体的には何ですか？
default,13, 具体的には教えてもらえますか？
default,3, 具体的に教えてください？
default,20, 具体的に教えてもらっていいですか？
アニメ・漫画,1, おすすめのアニメってありますか？
アニメ・漫画,2, おすすめの漫画ってありますか？
アニメ・漫画,10, それは一体どういった内容なんですか？
アニメ・漫画,1, 最近アニメや漫画をよく見ますか？
アニメ・漫画,2, 見たことのあるものの中で一番好きなものはなんですか？
エスエヌエス,15, 「エスエヌエス」を利用していてハプニングにあったことはありますか？
エスエヌエス,13, おすすめの便利なきのうとかはありますか？
エスエヌエス,3, これは「おすすめ」というものはありますか？
エスエヌエス,25, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？
エスエヌエス,21, ショッピングで「アマゾン」などはよく利用しますか？
エスエヌエス,10, 使い心地はどうですか？
エスエヌエス,17, 具体的にどういったものを買いますか？
エスエヌエス,15, 具体的になんのために利用していますか？
ゲーム,4, いつもはどんなジャンルのゲームをするんですか？
ゲーム,4, そのゲームのどんなところが好きなんですか？
ゲーム,1, それはなんていう作品なんですか？
ゲーム,3, では、やったことのあるゲームの中で、もう一度やりたいものはありますか？
ゲーム,5, ゲームはよくする方なんですか？
ゲーム,6, 代表的なものにスプラトゥーンやカービィ、マリオのゲームなどありますが、遊んだことはありますか？
ゲーム,1, 好きなゲームやおすすめのゲームってありますか？
ゲーム,2, 携帯ゲームかテレビゲームならどちらをしますか？
ゲーム,5, 最近ハマっているゲームはありますか？
スポーツ,20, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？
スポーツ,3, するのが好きなんですね．最近はどちらでそのスポーツを楽しみましたか？
スポーツ,4, そうですか。テレビでの観戦はなされるんですか？
スポーツ,16, そのほか健康のために、気をつけていることはありますか？
スポーツ,1, どんなスポーツをされましたか？
スポーツ,5, なにかおすすめのスポーツ観戦はありますか？
スポーツ,15, オリンピックは今までに見たことはありますか？
スポーツ,9, スポーツはするほうが好きですか？それとも見るほうが好きですか？
スポーツ,1, スポーツはよくするんですか？
スポーツ,6, スポーツをする目的は何ですか？
スポーツ,16, 健康のため、とか、リフレッシュするため、とかですか？
スポーツ,3, 好きなスポーツはなんですか？
スポーツ,16, 日本で開催されるオリンピックを、見にいく予定はありますか？
スポーツ,7, 最近スポーツはしましたか？
スポーツ,7, 競技はなにをご覧になりますか？
スポーツ,1, 見るのが好きなんですね．最近はどこで見たんですか？
ドラマ,2, あまり見ないんですね。では、今までに見た中で一番好きなドラマはありますか？
ドラマ,13, さいきんドラマは見ましたか？
ドラマ,5, そのドラマのどういったところが好きなんですか？
ドラマ,9, そのドラマはどんな内容なんですか？
ドラマ,1, では，おすすめのドラマは何ですか？よろしければ教えてください。
ドラマ,5, ドラマはよく見る方ですか？
ドラマ,4, 健康番組、とかトーク番組とか見られますか？
休日,2, お子さんとはよく公園で遊びますか？
休日,7, グーグルホームのようなスピーカーを使って、家事を効率化させたいとは思いますか？
休日,2, 人工知能を搭載した、アイボのようなロボットに興味はありますか？
休日,10, 人工知能を搭載した、ルンバのような家電を使ったことはありますか？
休日,29, 休日は家で過ごすほうが多いですか？外出することが多いですか？
休日,1, 何をして遊ぶことが多いですか？
休日,1, 公園は近くにありますか？それとも自転車に乗って行かないと行けないですか？
休日,26, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？
休日,4, 家事はひとりでぜんぶしますか？家族は協力してくれたりしますか？
学校,14, その時、どんなことをしたのですか？
学校,3, ほかにたいへんだったことはありますか？
学校,7, ほかにエピソードはありますか？
学校,8, 今までの体験の中で、そのほか、楽しかったことはありますか？
学校,5, 学生時代、たいへんだった体験はありますか？
学校,9, 学生時代、一番楽しかった学年はありますか？
学校,6, 最近、お子さんの学校のピーティーエーはたいへんと聞きますが、参加されたことはありますか？
学校,3, 最近、学校にはいきましたか？
学校,7, 運動会や、学芸会などのイベントで面白かった体験はありますか？
旅行,15, 「温泉」などリフレッシュするためにいきますか？
旅行,23, さいきん旅行には行きましたか？
旅行,23, その旅先で何が一番楽しかったですか？
旅行,16, ほかには何か面白いことはありましたか？
旅行,23, 今までいった「旅行」で特におすすめの場所はありますか？
