agent_utterance,theme
 こんにちわ，私の声が聞こえますか？,default
 実験を開始するまでしばらくお待ちください・・,default
 これで対話を終了します．ご協力ありがとうございました・・,default
 ありがとうございました・・,default
 それではつぎの話題にうつりたいとおもいます。,default
 なるほど、そうなんですね。,default
 なるほど、よくご存じですね・・,default
 なるほど、勉強になります・・,default
 はい、そうです。,default
 具体的に教えてもらっていいですか？,default
 具体的には何ですか？,default
 具体的にはどういったものですか？,default
 もう少し詳しく教えていただいていいですか。,default
 よくご存じですね。,default
 そうですね・・ぜひ参考にさせていただきます。,default
 すみません。もう一度おねがいします。,default
 すみません。なにか言いかけましたか？,default
 すごいですね。,default
 そうですね、わかります。,default
 そうですか、なかなかですね。,default
 すみません．それは私には出来ないことなんです,default
 すみません，その質問にはお答えできかねます．,default
 すみません、知らないことなので、もう少し教えてください。,default
 そうですね。,default
 そうなんですね。,default
 なるほど。,default
 ありがとうございます。,default
 すごいですね！,default
 本当ですね。,default
 本当ですか！,default
 楽しそうですね！,default
 はい、そうです！,default
 いいえ、違います・・,default
 私は好きです！,default
 私も好きです。,default
 私は少しにがてです。,default
 素敵な趣味ですね。,default
 たのしそうですね。,default
 それは面白そうですね。,default
 特にないですか、それでは次の話題にうつりましょうか。,default
 ないですか、それは残念です。,default
 それでは別の質問をしますね。,default
 そうなんですか．,default
 そうなんですか，それは残念です．,default
 そうなんですか，それは意外ですね？,default
 そうなんですか，それは羨ましいです！,default
 そうなんですか．では私も一度やってみたいと思います！,default
 そうなんですか．それでは一度独自で調べてみたいと思います．,default
 そうなんですか．一度調べてみても面白いかもしれませんね・・,default
 今日は寒いですね．風邪など体調管理には気をつけていますか？,はじめの雑談
 最近は寒いですね．風邪などの体調管理には気を付けていますか？,はじめの雑談
 今日は暖かいですね．今年は風邪などひきませんでしたか？,はじめの雑談
 そうなんですか，いいですね。,はじめの雑談
 もし風邪かなと思ったら、まず体を温めるのが効果的だそうです。,はじめの雑談
 衣類による十分な防寒や、お風呂に入る、または足湯をするとか、暖かい食べ物や、飲み物を飲むと効果的だそうです。,はじめの雑談
 私の知り合いはすぐに「かっこんとう」を飲んで、体を温めるそうです。,はじめの雑談
 私の知り合いは風邪対策に、紅茶にショウガとはちみつを入れて、毎日のむそうです。すると体が温まり、風邪が引きにくくなるそうです。,はじめの雑談
 体が冷えた状態にあると、けつりゅうが悪くなり、その結果、体内に老廃物がたまりやすくなるため、自然治癒力が弱まってしまい、風邪を長引かせるげんいんになるそうです。,はじめの雑談
 あとは帰ったらすぐに、手洗いうがいをするのが、やはり効果的だそうです。,はじめの雑談
 試してみてください。,はじめの雑談
 また、寒いと静電気で悩むことも多くなってきますよね？,はじめの雑談
 静電気というのは，ウールやポリエステルなど，異なる素材の服を重ねぎすることで溜まっていくそうです！,はじめの雑談
 そのため，同じ素材の服を着ることで、静電気を抑えることが出来るそうですよ？,はじめの雑談
 これから本番の収録を開始します。,はじめに乗り物
 はじめまして・・私の名前は「メイ」です。「対話の実験」の手伝いをしています。今日はよろしくお願いします。,はじめに乗り物
 きょうはここまでなにで来られましたか？乗り物は乗りましたか？,はじめに乗り物
 でんしゃ、バス、もしくは歩いてきましたか・・,はじめに乗り物
 ここに来るまで迷いませんでしたか・・,はじめに乗り物
 時間はどのくらいかかりましたか？,はじめに乗り物
 大学の中でも、たてものが奥にあるので、みなさん来るのが「たいへん」でしたとよく言われます・・,はじめに乗り物
 きょうは来ていただいてありがとうございます！,はじめに乗り物
 それでは「食べ物」について話しましょう！,食事
 甘いものと、からいものどちらがお好きですか？,食事
 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,食事
 そうですか、とても美味しそうですね・・,食事
 なるほど、普段はどこでスイーツを買いますか？,食事
 ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？,食事
