theme,freq,agent_utterance,utte_len
default,1, すごい！,5
default,47, なるほど。,6
default,19, 本当ですか！,7
default,5, そうですね。,7
default,1, 大変ですよね。,8
default,9, すごいですね。,8
default,5, すごいですね！,8
default,10, 楽しそうですね！,9
default,10, はい、そうです。,9
default,57, そうなんですね。,9
default,2, 面白いですよね。,9
default,1, そうなんですか．,9
default,2, たのしそうですね。,10
default,3, よくご存じですね。,10
default,8, 素敵な趣味ですね。,10
学校,1, 面白かったんですね！,11
default,9, 具体的には何ですか？,11
default,3, それは大変ですよね。,11
映画,2, 最近映画は見ましたか？,12
default,6, それは面白そうですね。,12
default,2, ほかには、ありますか？,12
本,7, 本はよく読む方ですか？,12
音楽,10, とても楽しそうですね。,12
音楽,14, カラオケは好きですか？,12
エスエヌエス,10, 使い心地はどうですか？,12
default,18, ありがとうございます。,12
本,6, 最近本は読みましたか？,12
学校,4, それはたいへんでしたね。,13
default,4, そうですね、わかります。,13
default,1, そうですか、残念です・・,13
音楽,6, 最近音楽は聞きましたか？,13
default,3, 具体的に教えてください？,13
学校,4, それは面白い体験ですね！,13
学校,12, それは楽しい時間でしたね！,14
ドラマ,5, ドラマはよく見る方ですか？,14
スポーツ,7, 最近スポーツはしましたか？,14
旅行,14, それは、美味しそうですね。,14
default,58, ありがとうございました・・,14
音楽,7, おすすめの曲はありますか？,14
旅行,4, 旅行にはよく行かれますか？,14
default,5, なるほど、面白そうですね！,14
映画,11, 最近見た映画はありますか？,14
default,128, なるほど、そうなんですね。,14
食事,1, いい思い出だったようです。,14
ドラマ,13, さいきんドラマは見ましたか？,15
学校,3, 最近、学校にはいきましたか？,15
学校,4, 貴重な体験をされましたね・・,15
default,4, そうですか、なかなかですね。,15
食事,8, どこで食べられたんですか・・,15
default,2, なるほど、そうなんですね・・,15
default,16, なるほど、勉強になります・・,15
スポーツ,1, スポーツはよくするんですか？,15
スポーツ,3, 好きなスポーツはなんですか？,15
音楽,6, コンサートとかには行きますか？,16
スポーツ,7, 競技はなにをご覧になりますか？,16
スポーツ,1, どんなスポーツをされましたか？,16
スポーツ,6, スポーツをする目的は何ですか？,16
映画,3, おすすめの映画ってありますか？,16
学校,6, それはご活躍されたんですね・・,16
音楽,3, がっきは何を演奏するのですか。,16
学校,7, ほかにエピソードはありますか？,16
アニメ・漫画,2, おすすめの漫画ってありますか？,16
旅行,23, さいきん旅行には行きましたか？,16
