theme,freq,agent_utterance
default,1, そうなんですか．
default,3, そうなんですか．それでは一度独自で調べてみたいと思います．
default,1, そうなんですか．私も独自に調べてみますね．
default,57, そうなんですね。
default,1, そうなんですね，新しい知識が増えました，今度知りあいにもすすめてみたいと思います！
default,1, そうなんですね．新しい知識が増えました！ありがとうございます！
default,128, なるほど、そうなんですね。
default,2, なるほど、そうなんですね・・
default,47, なるほど。
default,3, いいですね，とても興味深いです！

default,58, ありがとうございました・・
default,18, ありがとうございます。
default,6, ありがとうございます。参考にさせていただきます。

default,4, そうですか、なかなかですね。
default,1, そうですか、残念です・・
default,4, そうですね、わかります。
default,5, そうですね。
default,8, そうですね・・ぜひ参考にさせていただきます。

default,3, それは大変ですよね。
default,1, 大変ですよね。

default,6, それは面白そうですね。
default,2, たのしそうですね。
default,7, なるほど、それは面白そうですね。
default,4, なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！
default,5, なるほど、面白そうですね！
default,10, 楽しそうですね！
default,2, 面白いですよね。
default,19, 本当ですか！
default,9, すごいですね。
default,5, すごいですね！
default,1, すごい！

default,16, なるほど、勉強になります・・
default,7, なるほど、よくご存じですね・・
default,3, よくご存じですね。

スポーツ,9, いいですね。テレビ観戦も楽しそうですね！
スポーツ,10, なるほど、健康的で、ステキですね・・
スポーツ,2, なるほど、面白そうですね，機会があればわたしも見てみたいです！

音楽,2, すごいですね。一度聞かせていただけるとうれしいです。
音楽,2, そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！
音楽,10, とても楽しそうですね。
音楽,4, なまで演奏をきくと、迫力があって、感動するみたいですね！
音楽,3, わたしも実際に、演奏をきいてみたいものです。

食事,8, そうですか、とても美味しそうですね・・
食事,4, とても美味しそうですね。今度知りあいにもすすめてみようと思います・・
食事,11, なるほど、それは美味しそうですね・・

旅行,5, すごい！面白い体験をされましたね!
旅行,7, なるほど、それはリラックスできますね。
旅行,10, なるほど、それは素晴らしい経験ですね。
旅行,20, 貴重な体験談をありがとうございました。
