theme,freq,agent_utterance
default,3, どういったところが好きなんですか？
default,2, そのほかで、おすすめのものはありますか？あったら教えてください．
default,6, そのほかにおすすめのものはありますか？
default,5, それのどういったところが好きなんですか？
default,2, ほかには、ありますか？
default,19, 具体的にはどういったものですか？
default,9, 具体的には何ですか？
default,13, 具体的には教えてもらえますか？
default,3, 具体的に教えてください？
default,20, 具体的に教えてもらっていいですか？
スポーツ,16, そのほか健康のために、気をつけていることはありますか？
音楽,7, そのきょくのどういうところが好きなんですか？
音楽,1, その作曲者のどういうところが好きなんですか？
音楽,10, その歌手のどういうところが好きなんですか？
食事,12, それは「最近」食べられたんですか？
食事,20, なるほど、その中でもおすすめのスイーツはありますか？
旅行,23, その旅先で何が一番楽しかったですか？
旅行,16, ほかには何か面白いことはありましたか？
