theme,freq,agent_utterance
スポーツ,20, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？
スポーツ,4, そうですか。テレビでの観戦はなされるんですか？
スポーツ,1, どんなスポーツをされましたか？
スポーツ,5, なにかおすすめのスポーツ観戦はありますか？
スポーツ,15, オリンピックは今までに見たことはありますか？
スポーツ,9, スポーツはするほうが好きですか？それとも見るほうが好きですか？
スポーツ,1, スポーツはよくするんですか？
スポーツ,6, スポーツをする目的は何ですか？
スポーツ,16, 健康のため、とか、リフレッシュするため、とかですか？
スポーツ,3, 好きなスポーツはなんですか？
スポーツ,16, 日本で開催されるオリンピックを、見にいく予定はありますか？
スポーツ,7, 最近スポーツはしましたか？
スポーツ,7, 競技はなにをご覧になりますか？
音楽,7, おすすめの曲はありますか？
音楽,3, おすすめの歌手やきょくってありますか？
音楽,8, そのほか「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？
音楽,9, カラオケでよくなにをうたうのですか？
音楽,3, カラオケで歌ったりするのですか？
音楽,4, カラオケに行くときはお友達と行きますか？
音楽,14, カラオケは好きですか？
音楽,6, コンサートとかには行きますか？
音楽,6, 最近音楽は聞きましたか？
音楽,22, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
食事,9, お友達とランチに行ったりしますか？
食事,17, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
食事,7, どんなところに行きますか？和食ですか洋食ですか？
食事,23, なるほど、普段はどこでスイーツを買いますか？
食事,24, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
食事,30, 甘いものと、からいものどちらがお好きですか？
食事,10, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？
旅行,15, 「温泉」などリフレッシュするためにいきますか？
旅行,23, さいきん旅行には行きましたか？
旅行,23, 今までいった「旅行」で特におすすめの場所はありますか？
旅行,4, 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？
旅行,4, 旅行にはよく行かれますか？
旅行,11, 旅行に行くときはなにか目的はありますか？
旅行,10, 旅行はどこに行ったことがありますか？
