theme,freq,agent_utterance
default,59, ありがとうございました・・
default,18, ありがとうございます。
default,1, これで対話を終了します．ご協力ありがとうございました・・
default,9, すごいですね。
default,5, すごいですね！
default,5, すみません。なにか言いかけましたか？
default,4, すみません，その質問にはお答えできかねます．
default,4, そうですか、なかなかですね。
default,4, そうですね、わかります。
default,5, そうですね。
default,8, そうですね・・ぜひ参考にさせていただきます。
default,1, そうなんですか．
default,3, そうなんですか．それでは一度独自で調べてみたいと思います．
default,57, そうなんですね。
default,59, それではつぎの話題にうつりたいとおもいます。
default,6, それは面白そうですね。
default,2, たのしそうですね。
default,128, なるほど、そうなんですね。
default,7, なるほど、よくご存じですね・・
default,16, なるほど、勉強になります・・
default,47, なるほど。
default,10, はい、そうです。
default,31, もう少し詳しく教えていただいていいですか。
default,3, よくご存じですね。
default,19, 具体的にはどういったものですか？
default,9, 具体的には何ですか？
default,22, 具体的に教えてもらっていいですか？
default,19, 本当ですか！
default,10, 楽しそうですね！
default,8, 素敵な趣味ですね。
はじめに乗り物,32, きょうはここまでなにで来られましたか？乗り物は乗りましたか？
はじめに乗り物,30, きょうは来ていただいてありがとうございます！
はじめに乗り物,30, ここに来るまで迷いませんでしたか・・
はじめに乗り物,30, これから本番の収録を開始します。
はじめに乗り物,1, でんしゃ、バス、もしくは歩いてきましたか・・
はじめに乗り物,30, はじめまして・・私の名前は「メイ」です。「対話の実験」の手伝いをしています。今日はよろしくお願いします。
はじめに乗り物,28, 大学の中でも、たてものが奥にあるので、みなさん来るのが「たいへん」でしたとよく言われます・・
はじめに乗り物,23, 時間はどのくらいかかりましたか？
アニメ・漫画,1, おすすめのアニメってありますか？
アニメ・漫画,2, おすすめの漫画ってありますか？
アニメ・漫画,4, それでは少し「アニメ・漫画」について話しましょう！
アニメ・漫画,10, それは一体どういった内容なんですか？
アニメ・漫画,3, どういったところが好きなんですか？
アニメ・漫画,1, 最近アニメや漫画をよく見ますか？
アニメ・漫画,1, 楽しそうですね。今度知りあいにすすめてみたいと思います！
アニメ・漫画,2, 見たことのあるものの中で一番好きなものはなんですか？
エスエヌエス,1, 「エスエヌエス」のともだちと実際に、会ったことはありますか・・
エスエヌエス,8, 「エスエヌエス」を利用して、何か面白かったことはありますか・・
エスエヌエス,15, 「エスエヌエス」を利用していてハプニングにあったことはありますか？
エスエヌエス,2, いいですね，私も使ってみたいです！
エスエヌエス,1, いいですね．使ってみると面白そうですね！
エスエヌエス,13, おすすめの便利なきのうとかはありますか？
エスエヌエス,3, これは「おすすめ」というものはありますか？
エスエヌエス,25, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？
エスエヌエス,10, そうですか，いいものが見つかるといいですね．
エスエヌエス,1, そうなんですか．私も独自に調べてみますね．
エスエヌエス,1, それはなんですか？
エスエヌエス,3, たいへんでしたね。
エスエヌエス,19, なるほど、そういうふうに利用されているのですね。
エスエヌエス,1, ほかにたいへんだったことはありますか・・
エスエヌエス,21, ショッピングで「アマゾン」などはよく利用しますか？
エスエヌエス,10, 使い心地はどうですか？
エスエヌエス,17, 具体的にどういったものを買いますか？
エスエヌエス,15, 具体的になんのために利用していますか？
ゲーム,4, いつもはどんなジャンルのゲームをするんですか？
ゲーム,4, そのゲームのどんなところが好きなんですか？
ゲーム,6, それでは少し「ゲーム」について話しましょう
ゲーム,1, それはなんていう作品なんですか？
ゲーム,3, では、やったことのあるゲームの中で、もう一度やりたいものはありますか？
ゲーム,6, ゲームはよくする方なんですか？
ゲーム,6, 代表的なものにスプラトゥーンやカービィ、マリオのゲームなどありますが、遊んだことはありますか？
ゲーム,1, 好きなゲームやおすすめのゲームってありますか？
ゲーム,6, 子供から大人まで最近はスイッチというゲーム機でゲームをするのが流行っているみたいですね。
ゲーム,2, 携帯ゲームかテレビゲームならどちらをしますか？
ゲーム,5, 最近ハマっているゲームはありますか？
ゲーム,7, 私の知りあいはマリオテニスを試してみたそうです！あんがい体も動かせて楽しかったと言っていました。よろしければ、今度ためしてみてください！	
スポーツ,20, 1964年以来56年ぶりの日本でのオリンピック開催で，たくさんの競技が行われるのでいってみたいものですね！
スポーツ,20, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？
スポーツ,6, ありがとうございます。参考にさせていただきます。
スポーツ,9, いいですね。テレビ観戦も楽しそうですね！
スポーツ,4, これからの季節は暖かくなるので、散歩などは気持ちがいいですよね。
スポーツ,3, するのが好きなんですね．最近はどちらでそのスポーツを楽しみましたか？
スポーツ,3, そうですか。そのスポーツはテレビで鑑賞はされますか・・
スポーツ,4, そうですか。テレビでの観戦はなされるんですか？
スポーツ,16, そのほか健康のために、気をつけていることはありますか？
スポーツ,2, そのスポーツのおすすめポイントを教えてください＾＾
スポーツ,7, それでは少し「スポーツ」について話しましょう！
スポーツ,1, どんなスポーツをされましたか？
スポーツ,5, なにかおすすめのスポーツ観戦はありますか？
スポーツ,10, なるほど、健康的で、ステキですね・・
スポーツ,5, なるほど、面白そうですね！
スポーツ,2, なるほど、面白そうですね，機会があればわたしも見てみたいです！
スポーツ,15, オリンピックは今までに見たことはありますか？
スポーツ,9, スポーツはするほうが好きですか？それとも見るほうが好きですか？
スポーツ,1, スポーツはよくするんですか？
スポーツ,6, スポーツをする目的は何ですか？
スポーツ,16, 健康のため、とか、リフレッシュするため、とかですか？
スポーツ,3, 好きなスポーツはなんですか？
スポーツ,16, 日本で開催されるオリンピックを、見にいく予定はありますか？
スポーツ,7, 最近スポーツはしましたか？
スポーツ,7, 競技はなにをご覧になりますか？
スポーツ,1, 見るのが好きなんですね．最近はどこで見たんですか？
ドラマ,2, あまり見ないんですね。では、今までに見た中で一番好きなドラマはありますか？
ドラマ,2, あまり見ないんですね。では、今までに見た中で一番好きなドラマはありますか？
ドラマ,13, さいきんドラマは見ましたか？
ドラマ,2, そういった番組も面白いですよね。
ドラマ,1, そうなんですね．新しい知識が増えました！ありがとうございます！
ドラマ,5, そのドラマのどういったところが好きなんですか？
ドラマ,9, そのドラマはどんな内容なんですか？
ドラマ,11, それでは少し「ドラマ」の話をしましょう！
ドラマ,2, それはどんな内容なんですか？
ドラマ,1, では，おすすめのドラマは何ですか？よろしければ教えてください。
ドラマ,2, なるほど、そうなんですね・・
ドラマ,4, なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！
ドラマ,5, ドラマはよく見る方ですか？
ドラマ,4, 健康番組、とかトーク番組とか見られますか？
休日の過ごしかた,1, いぬがたのロボットで、とてもかわいがる人もいるようです。
休日の過ごしかた,2, お子さんとはよく公園で遊びますか？
休日の過ごしかた,2, お子さんと遊ぶのは体力が必要で、大変ですよね。
休日の過ごしかた,1, すごい！
休日の過ごしかた,12, そとで過ごすときはスポーツをしたりしますか・・
休日の過ごしかた,3, それは大変ですよね。
休日の過ごしかた,7, グーグルホームのようなスピーカーを使って、家事を効率化させたいとは思いますか？
休日の過ごしかた,3, 一度ネットワークにつなぐと、あとはラクなようですよ。
休日の過ごしかた,2, 人工知能を搭載した、アイボのようなロボットに興味はありますか？
休日の過ごしかた,10, 人工知能を搭載した、ルンバのような家電を使ったことはありますか？
休日の過ごしかた,29, 休日は家で過ごすほうが多いですか？外出することが多いですか？
休日の過ごしかた,1, 何をして遊ぶことが多いですか？
休日の過ごしかた,1, 公園は近くにありますか？それとも自転車に乗って行かないと行けないですか？
休日の過ごしかた,1, 大変ですよね。
休日の過ごしかた,26, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？
