index,state_i-1,state_i,action
1902F2001_001,4.0,4.0,3
1902F2001_002,4.0,4.0,3
1902F2001_003,4.0,5.2,7
1902F2001_004,5.2,5.6,7
1902F2001_005,5.6,5.4,3
1902F2001_006,5.4,5.2,6
1902F2001_007,5.2,4.4,3
1902F2001_008,4.4,4.8,3
1902F2001_009,4.8,4.2,3
1902F2001_010,4.2,4.0,4
1902F2001_011,4.0,5.0,6
1902F2001_012,5.0,5.6,6
1902F2001_013,5.6,4.6,5
1902F2001_014,4.6,4.4,6
1902F2001_015,4.4,5.8,7
1902F2001_016,5.8,4.8,6
1902F2001_017,4.8,4.8,7
1902F2001_018,4.8,4.0,3
1902F2001_019,4.0,4.0,4
1902F2001_020,4.0,4.0,4
1902F2001_021,4.0,5.0,6
1902F2001_022,5.0,6.0,7
1902F2001_023,6.0,5.6,7
1902F2001_024,5.6,6.4,6
1902F2001_025,6.4,5.6,7
1902F2001_026,5.6,6.4,5
1902F2001_027,6.4,5.8,6
1902F2001_028,5.8,4.0,3
1902F2001_029,4.0,5.6,7
1902F2001_030,5.6,4.6,5
1902F2001_031,4.6,5.0,7
1902F2001_032,5.0,4.4,0
1902F2001_033,4.4,5.4,7
1902F2001_034,5.4,5.4,6
1902F2001_035,5.4,4.0,3
1902F2001_036,4.0,3.2,7
1902F2001_037,3.2,3.6,3
1902F2001_038,3.6,5.8,7
1902F2001_039,5.8,4.2,3
1902F2001_040,4.2,4.8,7
1902F2001_041,4.8,3.4,1
1902F2001_042,3.4,2.8,3
1902F2001_043,2.8,4.8,6
1902F2001_044,4.8,4.2,4
1902F2001_045,4.2,5.6,7
1902F2001_046,5.6,5.2,6
1902F2001_047,5.2,6.2,7
1902F2001_048,6.2,6.0,6
1902F2001_049,6.0,6.2,6
1902F2001_050,6.2,4.2,5
1902F2001_051,4.2,5.0,7
1902F2001_052,5.0,5.2,6
1902F2001_053,5.2,3.8,5
1902F2001_054,3.8,4.8,7
1902F2001_055,4.8,3.8,3
1902F2001_056,3.8,3.8,3
1902F2001_057,3.8,4.0,4
1902F2001_058,4.0,4.8,6
1902F2001_059,4.8,5.4,7
1902F2001_060,5.4,5.8,6
1902F2001_061,5.8,3.6,6
1902F2001_062,3.6,3.8,3
1902F2001_063,3.8,3.6,5
1902F2001_064,3.6,4.4,7
1902F2001_065,4.4,4.4,6
1902F2001_066,4.4,4.6,6
1902F2001_067,4.6,3.8,5
1902F2001_068,3.8,2.8,7
1902F2001_069,2.8,3.8,3
1902F2001_070,3.8,3.8,3
1902F2001_071,3.8,4.8,7
1902F2001_072,4.8,5.2,7
1902F2001_073,5.2,4.0,3
1902F2001_074,4.0,5.0,6
1902F2001_075,5.0,4.2,3
1902F2001_076,4.2,3.6,7
1902F2001_077,3.6,4.0,3
1902F2001_078,4.0,3.2,7
1902F2001_079,3.2,3.6,7
1902F2001_080,3.6,4.0,3
1902F2001_081,4.0,3.0,7
