exchgID,da,theme,UI,utterance
000_S,change_theme,-,-, *** これから食事の話をしましょう***
000_U,-,-,4.0,はい
001_S,qs_o_s,食事,-, 具体的にどういう味か教えてください。
001_U,-,-,4.0,辛い味がすきです
002_S,qs_x_s,食事,-, お友達とランチに行ったりしますか？
002_U,-,-,4.0,まあいきますね
003_S,qs_x_s,default,-, どういったところが好きなんですか？
003_U,-,-,5.0,楽しく話せるところかな
004_S,re_x_m,default,-, なるほど。
004_U,-,-,4.0,はい
005_S,qs_x_s,食事,-, そうですか。最近はまっている食べ物はありますか・・
005_U,-,-,5.0,サーターアンダギーです
006_S,re_x_m,default,-, そうですね。
006_U,-,-,3.0,ばれてました？
007_S,qs_o_s,食事,-, なるほど、その中でもおすすめのスイーツはありますか？
007_U,-,-,5.0,ティラミスとかはすきですよ
008_S,re_x_m,食事,-, そうですか、とても美味しそうですね・・
008_U,-,-,5.0,でしょ
009_S,thank,default,-, ありがとうございます。参考にさせていただきます。
009_U,-,-,5.0,ぜひ，食べてください．
