,0,1,2,3
0,314.0,11.0,30.0,17.0
1,453.0,10.0,22.0,32.0
2,326.0,14.0,24.0,18.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,129.0,7.0,14.0,3.0
7,203.0,10.0,10.0,9.0
8,148.0,6.0,6.0,10.0
9,54.0,3.0,0.0,1.0
10,3.0,5.0,113.0,4.0
11,127.0,8.0,4.0,3.0
12,305.0,30.0,21.0,30.0
13,687.0,41.0,98.0,28.0
14,28.0,31.0,671.0,32.0
15,7.0,1.0,0.0,1.0
16,27.0,1.0,10.0,1.0
17,5.0,2.0,55.0,2.0
18,22.0,16.0,307.0,21.0
19,18.0,197.0,439.0,24.0
20,15.0,16.0,303.0,6.0
21,524.0,18.0,73.0,28.0
22,1302.0,46.0,92.0,43.0
23,33.0,806.0,54.0,39.0
