,0,1,2,3,4,5,6,7
0,12.0,5.0,350.0,15.0,10.0,7.0,6.0,6.0
1,5.0,9.0,461.0,10.0,12.0,7.0,6.0,9.0
2,15.0,7.0,338.0,6.0,9.0,14.0,9.0,6.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0,0.0,12.0,1.0,0.0,0.0,2.0,2.0
7,1.0,2.0,30.0,1.0,3.0,3.0,1.0,1.0
8,1.0,1.0,0.0,1.0,71.0,1.0,1.0,1.0
9,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0
10,0.0,0.0,20.0,1.0,1.0,3.0,0.0,0.0
11,61.0,1.0,0.0,2.0,1.0,3.0,0.0,2.0
12,15.0,24.0,674.0,20.0,25.0,23.0,19.0,15.0
13,30.0,29.0,1047.0,21.0,30.0,31.0,21.0,23.0
14,12.0,12.0,515.0,16.0,13.0,13.0,19.0,13.0
15,19.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0
16,2.0,0.0,1.0,52.0,1.0,1.0,2.0,2.0
17,2.0,33.0,2.0,1.0,1.0,0.0,2.0,2.0
18,5.0,12.0,464.0,7.0,8.0,13.0,14.0,11.0
19,18.0,8.0,7.0,15.0,624.0,10.0,13.0,10.0
20,7.0,6.0,11.0,6.0,7.0,2.0,9.0,335.0
21,722.0,8.0,12.0,8.0,17.0,14.0,20.0,20.0
22,21.0,20.0,17.0,908.0,24.0,24.0,18.0,17.0
23,20.0,14.0,16.0,681.0,19.0,20.0,12.0,8.0
