,0,1,2,3,4,5,6,7
0,1.5051264118517574e-11,2.5127667257663685e-19,0.9999999999835827,6.0475336934537374e-18,1.3625444987231608e-12,3.704300760117558e-18,3.0607995185770046e-20,3.5147238368833712e-15
1,8.91238215441602e-23,8.380948979470096e-17,0.9999999999999978,1.13084908890891e-19,2.201878690870073e-15,1.090386606293141e-18,5.590233771707874e-23,4.78728049161065e-20
2,2.6640282480428403e-12,4.3356723640393655e-15,0.9999999999973317,3.2734596112305463e-21,1.448185218770412e-18,8.436166650214175e-17,5.6900098874783005e-21,1.9375811914295117e-18
3,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
5,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
6,7.38744120435704e-13,1.3760429626428994e-12,0.999999999972023,1.5387898443973668e-11,1.3760429626428994e-12,1.3760429626428994e-12,7.243222612918724e-12,4.78936126469656e-13
7,2.926181347591213e-22,1.632458127566381e-20,1.0,3.072322509274375e-22,5.908906532167237e-20,2.0837542763212914e-21,6.404373210524292e-22,5.479622318838182e-22
8,3.0118656995324564e-25,1.6223469003493535e-23,9.119165086449478e-26,6.647839249393961e-24,1.0,5.05548087124286e-25,1.981789879226109e-23,3.731884702403904e-23
9,2.5114922987823635e-06,0.9999750016887483,1.942752583641378e-05,6.691650789185171e-07,6.691650789185171e-07,3.8263280071657714e-07,6.691650789185171e-07,6.691650789185171e-07
10,3.6466029222329145e-20,3.6466029222329145e-20,1.0,6.52073763610335e-18,3.944065058553529e-18,8.659847507532859e-20,3.6466029222329145e-20,3.6466029222329145e-20
11,1.0,2.7149965001519192e-30,1.094403151446728e-33,8.270269715901026e-30,1.2639462476657183e-31,5.306197198184422e-30,1.094403151446728e-33,2.8077997836106856e-28
12,5.849208807104136e-12,1.7761919827101154e-09,0.999999997379911,1.997005960937712e-11,1.2312116922449216e-12,8.163307690377195e-10,5.159249511560901e-13,8.529577364350737e-18
13,5.6070253398213515e-09,3.286540590182854e-12,0.9999936456608987,7.674566579585224e-13,5.932098330533622e-06,4.1628847623654433e-07,7.339119983960076e-15,3.4120802888401467e-10
14,8.768682701585284e-14,1.5272884932402814e-15,0.9999999999998073,5.134796739100405e-18,1.0234413150143284e-13,1.6848689768452166e-16,2.8385300812483786e-16,6.412728441643102e-16
15,1.0,9.129068185763551e-20,2.2281676663650424e-19,4.4179422972416764e-17,9.129068185763551e-20,5.700075195124686e-20,9.129068185763551e-20,7.108149872089478e-20
16,2.8374163542557104e-20,1.9428420458999017e-24,6.906191972423717e-24,1.0,1.9282601607254401e-23,3.1044251198767643e-24,6.595769992835652e-25,8.456145872120713e-23
17,5.869900097942929e-27,1.0,5.935461409104754e-31,8.245300495558117e-31,6.292835440443554e-30,1.1268812668360174e-31,2.753107287257548e-29,4.032972764361985e-28
18,3.589521024908378e-15,2.6471847695191525e-12,0.9999999765344759,1.2078263044432363e-14,1.0802061110759976e-13,2.3458556973064693e-08,4.196138293370503e-12,1.4784436651120114e-16
19,2.7156937257412167e-07,2.8579989442784657e-11,4.329552488549129e-13,2.276906212937456e-13,0.9999997272404275,1.1563728917452124e-09,4.556555444121698e-12,2.981972247998432e-14
20,2.9069301952318866e-18,8.414843467691783e-20,1.7587010420472384e-12,3.352022338893831e-20,1.0721342589658481e-17,1.790787947468069e-24,3.224680611007411e-19,0.9999999999982414
21,0.9999999999988443,3.5586929026805645e-14,5.765081037876375e-16,1.978810376553076e-18,1.1188448907420806e-12,6.54028031518055e-16,8.763542168243714e-18,5.227226207120179e-18
22,0.006943387281097348,0.0295146690193636,4.358840595126173e-09,0.9635419377722336,1.1627709732587186e-10,1.4521010381583112e-09,4.793648621001024e-15,8.186737010741408e-14
23,4.618526647312073e-05,2.1404033456544862e-07,5.880949262639851e-11,0.9999536005979701,1.03060091377801e-12,3.5382102471364255e-11,1.7795728834690932e-17,6.115266325137356e-17
