exchgID,da,theme,UI,utterance
000_S,change_theme,-,-, *** これからスポーツの話をしましょう***
000_U,-,-,4.0,はい
001_S,qs_o,スポーツ,-, そのほか健康のために、気をつけていることはありますか？
001_U,-,-,4.0,たまにランニングをします
002_S,qs_o,スポーツ,-, そのスポーツのおすすめポイントを教えてください＾＾
002_U,-,-,4.0,気分転換になるところです
003_S,qs_o,スポーツ,-, スポーツはするほうが好きですか？それとも見るほうが好きですか？
003_U,-,-,5.0,見る方ですかね．どっちも好きですけど
004_S,thank,default,-, ありがとうございます。
004_U,-,-,4.0,はい
005_S,qs_x,default,-, どういったところが好きなんですか？
005_U,-,-,5.0,結末がわからないところですかね
006_S,thank,default,-, ありがとうございます。参考にさせていただきます。
006_U,-,-,5.0,はい，みてください
007_S,qs_x,スポーツ,-, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？
007_U,-,-,5.0,知ってますよもちろん
008_S,thank,default,-, ありがとうございます。
008_U,-,-,4.0,みますか？
009_S,re_x,default,-, そうですか、なかなかですね。
009_U,-,-,4.0,どういう意味でしょう
