exchgID,da,theme,UI,utterance
000_S,change_theme,-,-, *** これから旅行の話をしましょう***
000_U,-,-,4.0,はい
001_S,qs_x_s,旅行,-, 旅行はどこに行ったことがありますか？
001_U,-,-,5.0,九州とか，新潟とか
002_S,qs_o_d,default,-, そのほかにおすすめのものはありますか？
002_U,-,-,4.0,日本国ないですかね
003_S,qs_o_s,旅行,-, その旅先で何が一番楽しかったですか？
003_U,-,-,4.0,九州で美味しいもの食べたときかな
004_S,qs_o_s,旅行,-, ほかには何か面白いことはありましたか？
004_U,-,-,4.0,いいようにしてもらったことかな
005_S,re_x_d,default,-, よくご存じですね。
005_U,-,-,2.0,はい？
006_S,qs_x_s,旅行,-, 「温泉」などリフレッシュするためにいきますか？
006_U,-,-,3.0,いきますよ，たまにですけど
007_S,qs_x_s,旅行,-, 旅行にはよく行かれますか？
007_U,-,-,4.0,まあ頻繁に行きます
008_S,re_x_d,default,-, すごいですね。
008_U,-,-,5.0,お金なくなりますけどね
009_S,io,旅行,-, すごい！面白い体験をされましたね!
009_U,-,-,5.0,はい，してみてください
