,0,1,2,3,4,5,6,7
0,3.0621920015956287e-187,4.913006519192472e-202,1.0,4.372795899777805e-199,3.311305309001445e-239,2.908041630735414e-234,2.27016523710981e-268,3.491531527882239e-198
1,3.3282410494776395e-195,1.7037386094276275e-182,1.0,5.131633535178652e-241,1.0699919864076007e-203,1.477077613376316e-249,1.1883099602131128e-184,1.4904796258167287e-271
2,6.835127876881894e-180,8.59047086187168e-251,1.0,3.148528417032909e-293,1.8699417642279342e-234,8.939111022139399e-232,1.078555115130541e-275,0.0
3,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
5,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
6,4.007799172376261e-69,3.07705411225925e-70,1.0,9.228823938338076e-68,9.228823938338076e-68,9.228823938338076e-68,9.228823938338076e-68,4.1267980226126765e-70
7,7.42064257362558e-128,7.42064257362558e-128,7.42064257362558e-128,7.42064257362558e-128,1.0,7.42064257362558e-128,8.547586274377451e-106,7.42064257362558e-128
8,3.583394194671781e-247,3.583394194671781e-247,3.583394194671781e-247,1.0920072915814946e-221,3.583394194671781e-247,3.583394194671781e-247,3.583394194671781e-247,1.0
9,1.0,3.0462133900012208e-86,6.797020815572637e-87,3.0462133900012208e-86,3.0462133900012208e-86,3.0462133900012208e-86,3.0462133900012208e-86,3.0462133900012208e-86
10,1.9411938097247186e-150,1.9411938097247186e-150,1.9411938097247186e-150,1.9411938097247186e-150,1.9411938097247186e-150,1.0,7.135749110786938e-133,1.9411938097247186e-150
11,5.4138938489095554e-219,5.4138938489095554e-219,1.0,5.4138938489095554e-219,3.3247134542754087e-218,6.564807583852253e-188,5.4138938489095554e-219,5.4138938489095554e-219
12,1.5167756120089013e-150,1.2409720550184167e-137,1.0,8.892045556626232e-169,2.2753884053088927e-104,5.878267469598384e-129,3.8550680800850794e-178,4.58352370179225e-171
13,1.179066423364738e-187,6.218409403180297e-113,1.0,2.293851910005227e-245,6.2411326648949565e-201,2.2422110737730276e-217,1.5068484153731597e-250,6.13060431668572e-213
14,8.993092197758635e-307,7.779822590526911e-303,1.0,4.83857134477e-313,2.779731524644641e-269,0.0,8.72252309e-315,0.0
15,1.1157687688524005e-148,1.0,1.101566981927144e-180,1.101566981927144e-180,1.2436827739815383e-171,8.29329994030195e-166,1.101566981927144e-180,8.002019325709749e-166
16,1.0,0.0,1.0106255075350199e-243,0.0,0.0,1e-323,0.0,0.0
17,4.885297854069961e-164,4.885297854069961e-164,4.885297854069961e-164,4.885297854069961e-164,4.885297854069961e-164,1.1520148018478518e-156,4.885297854069961e-164,1.0
18,9.541118750609842e-173,1.8215153216965665e-204,1.0,2.1167838168954012e-169,5.174239864981194e-190,7.386155888278089e-182,2.3945466900108756e-180,4.774400155958282e-214
19,3.37914611472769e-188,3.842890853620223e-116,4.8794274930183706e-167,8.072598090443843e-164,1.0,2.035790698005628e-120,6.822023109452955e-130,1.286812340255351e-206
20,1.0,1.2394919741416405e-64,3.214434929957809e-138,2.4370571507773278e-197,6.450395117527527e-210,1.494511556744591e-181,6.559771593726595e-173,4.433637635704695e-255
21,6.376630292437043e-169,7.799902470225007e-172,6.941131670346714e-144,1.0,3.792152664092407e-149,5.6907116757766866e-201,7.819633499939254e-197,2.013748313296403e-197
22,2.27197154487253e-113,1.0,2.979602712655918e-122,7.283442891766532e-190,1.619916038483642e-179,1.8225211817139626e-171,1.1050705165646449e-185,1.295540996604035e-202
23,1.0,3.7299206669544243e-51,8.192667387000165e-100,4.051660267720227e-121,2.7569195895284915e-169,5.104960310798911e-160,2.655938183001512e-180,9.628625612560092e-257
