,0,1,2,3,4,5,6,7
0,16.0,14.0,295.0,8.0,13.0,8.0,13.0,11.0
1,11.0,20.0,442.0,16.0,18.0,11.0,8.0,9.0
2,17.0,10.0,316.0,13.0,14.0,9.0,10.0,7.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2.0,2.0,14.0,0.0,2.0,1.0,2.0,2.0
7,1.0,0.0,1.0,1.0,0.0,0.0,2.0,17.0
8,1.0,1.0,0.0,0.0,12.0,2.0,1.0,1.0
9,1.0,10.0,0.0,2.0,1.0,1.0,0.0,0.0
10,1.0,0.0,1.0,15.0,0.0,3.0,2.0,3.0
11,1.0,1.0,3.0,14.0,1.0,1.0,0.0,1.0
12,28.0,31.0,511.0,23.0,27.0,30.0,24.0,36.0
13,27.0,35.0,683.0,25.0,27.0,33.0,30.0,27.0
14,28.0,22.0,519.0,18.0,28.0,25.0,18.0,13.0
15,1.0,3.0,1.0,31.0,2.0,2.0,0.0,2.0
16,2.0,1.0,3.0,34.0,4.0,2.0,2.0,1.0
17,30.0,1.0,3.0,0.0,1.0,0.0,3.0,4.0
18,10.0,7.0,11.0,8.0,309.0,8.0,7.0,7.0
19,20.0,19.0,13.0,20.0,563.0,25.0,18.0,18.0
20,9.0,13.0,471.0,13.0,19.0,12.0,8.0,10.0
21,499.0,17.0,20.0,18.0,22.0,21.0,17.0,15.0
22,39.0,1075.0,29.0,30.0,29.0,37.0,36.0,27.0
23,35.0,317.0,31.0,756.0,35.0,43.0,32.0,35.0
