,0,1,2,3,4,5,6,7
0,8.0,8.0,140.0,9.0,3.0,8.0,6.0,10.0
1,13.0,14.0,200.0,13.0,10.0,11.0,10.0,13.0
2,5.0,4.0,4.0,5.0,137.0,7.0,8.0,3.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0,1.0,1.0,1.0,0.0,1.0,1.0,17.0
7,1.0,1.0,22.0,1.0,1.0,1.0,0.0,0.0
8,1.0,27.0,0.0,1.0,2.0,0.0,0.0,2.0
9,4.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0
10,0.0,11.0,0.0,2.0,0.0,3.0,2.0,0.0
11,25.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0
12,17.0,14.0,192.0,11.0,11.0,21.0,15.0,15.0
13,25.0,25.0,372.0,13.0,31.0,18.0,26.0,21.0
14,8.0,17.0,245.0,18.0,10.0,16.0,19.0,12.0
15,1.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0
16,2.0,1.0,0.0,18.0,1.0,3.0,2.0,0.0
17,17.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0
18,7.0,9.0,156.0,6.0,7.0,8.0,12.0,11.0
19,13.0,20.0,17.0,9.0,11.0,219.0,18.0,12.0
20,7.0,8.0,10.0,5.0,3.0,3.0,3.0,107.0
21,291.0,11.0,17.0,9.0,20.0,15.0,15.0,22.0
22,598.0,30.0,29.0,28.0,33.0,24.0,23.0,31.0
23,14.0,14.0,20.0,318.0,17.0,14.0,18.0,22.0
