agent_utterance,UI3average,UI3average_diff,lenS,questionmark,context,general,0,1,2,3,4,5,cls
 これから本番の収録を開始します。,4.0,0.0,22.0,0,5,1.0,-0.6678062880972329,-0.00035407572775476577,-0.2072906294231596,-0.9462240507213308,-0.36956593230350415,-0.41090254382412034,3
 はじめまして・・私の名前は「メイ」です。「対話の実験」の手伝いをしています。今日はよろしくお願いします。,4.0,0.0,60.0,0,1,1.0,-0.6678062880972329,-0.00035407572775476577,2.6002005300017292,-0.9462240507213308,-0.5918834635019024,-0.41090254382412034,4
 きょうはここまでなにで来られましたか？乗り物は乗りましたか？,5.2,1.2000000000000002,32.0,1,1,1.0,0.8084284022228457,1.3173387451116179,0.53152283358339,1.0568321522135,-0.5918834635019024,-0.41090254382412034,5
 ここに来るまで迷いませんでしたか・・,5.6,0.39999999999999947,19.0,0,3,1.0,1.3005066323295378,0.4388768645520355,-0.4289346683251245,-0.9462240507213308,-0.4807246979027032,-0.41090254382412034,8
 大学の中でも、たてものが奥にあるので、みなさん来るのが「たいへん」でしたとよく言われます・・,5.4,-0.1999999999999993,50.0,0,3,1.0,1.0544675172761924,-0.2199695458676494,1.8613870669951795,-0.9462240507213308,-0.4807246979027032,-0.41090254382412034,4
 時間はどのくらいかかりましたか？,5.2,-0.20000000000000015,17.0,1,4,1.0,0.8084284022228457,-0.21996954586765036,-0.5766973609264344,1.0568321522135,-0.42514531510310366,-0.41090254382412034,0
 なるほど。,4.4,-0.7999999999999998,5.0,0,36,1.7407407407407407,-0.1757280579905396,-0.8788159562873363,-1.463273516534294,-0.9462240507213308,1.3533949344840819,0.5193094654613444,9
 本当ですか！,4.8,0.39999999999999947,8.0,0,15,1.1875,0.3163501721161525,0.4388768645520355,-1.2416294776323291,-0.9462240507213308,0.18622789569249137,-0.17544262897373708,8
 きょうは来ていただいてありがとうございます！,4.2,-0.5999999999999996,22.0,0,4,1.0,-0.4217671730438862,-0.6592004861474406,-0.2072906294231596,-0.9462240507213308,-0.42514531510310366,-0.41090254382412034,3
 それでは「食べ物」について話しましょう！,4.0,-0.20000000000000015,22.0,0,2,1.0,-0.6678062880972329,-0.21996954586765036,-0.2072906294231596,-0.9462240507213308,-0.5363040807023027,-0.41090254382412034,3
 甘いものと、からいものどちらがお好きですか？,5.0,1.0,23.0,1,1,1.0,0.5623892871694991,1.0977232749717223,-0.1334092831225046,1.0568321522135,-0.5918834635019024,-0.41090254382412034,5
 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,5.6,0.5999999999999996,44.0,1,2,1.0,1.3005066323295378,0.658492334691931,1.4180989891912497,1.0568321522135,-0.5363040807023027,-0.41090254382412034,7
 そうですか、とても美味しそうですね・・,4.6,-1.0,19.0,0,4,1.0,0.07031105706280591,-1.098431426427232,-0.4289346683251245,-0.9462240507213308,-0.42514531510310366,-0.41090254382412034,1
 なるほど、普段はどこでスイーツを買いますか？,4.4,-0.1999999999999993,20.0,1,8,1.0,-0.1757280579905396,-0.2199695458676494,-0.3550533220244695,1.0568321522135,-0.2028277839047055,-0.41090254382412034,0
 ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？,5.8,1.3999999999999997,45.0,1,7,1.0,1.5465457473828845,1.5369542152515128,1.4919803354919046,1.0568321522135,-0.258407166704305,-0.41090254382412034,7
 具体的にはどういったものですか？,4.8,-1.0,18.0,1,13,1.1875,0.3163501721161525,-1.098431426427232,-0.5028160146257794,1.0568321522135,0.07506913009329227,-0.17544262897373708,0
 なるほど、その中でもおすすめのスイーツはありますか？,4.8,0.0,24.0,1,5,1.0526315789473684,0.3163501721161525,-0.00035407572775476577,-0.059527936821849654,1.0568321522135,-0.36956593230350415,-0.3448085326380479,0
 なるほど、そうなんですね。,4.0,-0.7999999999999998,13.0,0,81,4.413793103448277,-0.6678062880972329,-0.8788159562873363,-0.8722227461290543,-0.9462240507213308,3.8544671604660614,3.8760917679345828,2
 それではつぎの話題にうつりたいとおもいます。,4.0,0.0,23.0,0,19,2.034482758620689,-0.6678062880972329,-0.00035407572775476577,-0.1334092831225046,-0.9462240507213308,0.4085454268908896,0.8881866415573038,9
 次に「お休みの日の過ごし方」についてお話ししましょう！,4.0,0.0,31.0,0,8,1.0,-0.6678062880972329,-0.00035407572775476577,0.4576414872827351,-0.9462240507213308,-0.2028277839047055,-0.41090254382412034,3
 休日は家で過ごすほうが多いですか？外出することが多いですか？,5.0,1.0,39.0,1,1,1.0,0.5623892871694991,1.0977232749717223,1.048692257687975,1.0568321522135,-0.5918834635019024,-0.41090254382412034,7
 そとで過ごすときはスポーツをしたりしますか・・,6.0,1.0,23.0,0,4,1.0,1.792584862436231,1.0977232749717223,-0.1334092831225046,-0.9462240507213308,-0.42514531510310366,-0.41090254382412034,8
 最近スポーツはしましたか？,5.6,-0.4000000000000004,15.0,1,3,1.0,1.3005066323295378,-0.439585016007546,-0.7244600535277443,1.0568321522135,-0.4807246979027032,-0.41090254382412034,0
 好きなスポーツはなんですか？,6.4,0.8000000000000007,14.0,1,3,1.0,2.284663092542924,0.8781078048318276,-0.7983413998283994,1.0568321522135,-0.4807246979027032,-0.41090254382412034,5
 するのが好きなんですね．最近はどちらでそのスポーツを楽しみましたか？,5.6,-0.8000000000000007,37.0,1,3,1.0,1.3005066323295378,-0.8788159562873372,0.9009295650866649,1.0568321522135,-0.4807246979027032,-0.41090254382412034,0
 なるほど、健康的で、ステキですね・・,6.4,0.8000000000000007,21.0,0,4,1.1111111111111112,2.284663092542924,0.8781078048318276,-0.2811719757238145,-0.9462240507213308,-0.42514531510310366,-0.27137074243130055,8
 スポーツをする目的は何ですか？,5.8,-0.6000000000000005,18.0,1,5,1.0,1.5465457473828845,-0.6592004861474416,-0.5028160146257794,1.0568321522135,-0.36956593230350415,-0.41090254382412034,0
 なるほど、そうなんですね。,4.0,-1.7999999999999998,13.0,0,81,4.413793103448277,-0.6678062880972329,-1.9768933069868133,-0.8722227461290543,-0.9462240507213308,3.8544671604660614,3.8760917679345828,2
 そのほか健康のために、気をつけていることはありますか？,5.6,1.5999999999999996,29.0,1,7,1.0,1.3005066323295378,1.7565696853914081,0.30987879468142515,1.0568321522135,-0.258407166704305,-0.41090254382412034,5
 なるほど、健康的で、ステキですね・・,4.6,-1.0,21.0,0,4,1.1111111111111112,0.07031105706280591,-1.098431426427232,-0.2811719757238145,-0.9462240507213308,-0.42514531510310366,-0.27137074243130055,1
 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？,5.0,0.4000000000000004,39.0,1,12,1.0,0.5623892871694991,0.43887686455203656,1.048692257687975,1.0568321522135,0.019489747293692725,-0.41090254382412034,7
 1964年以来56年ぶりの日本でのオリンピック開催で，たくさんの競技が行われるのでいってみたいものですね！,4.4,-0.5999999999999996,60.0,0,1,1.0,-0.1757280579905396,-0.6592004861474406,2.6002005300017292,-0.9462240507213308,-0.5918834635019024,-0.41090254382412034,4
 オリンピックは今までに見たことはありますか？,5.4,1.0,23.0,1,4,1.0,1.0544675172761924,1.0977232749717223,-0.1334092831225046,1.0568321522135,-0.42514531510310366,-0.41090254382412034,5
 具体的に教えてもらっていいですか？,5.4,0.0,20.0,1,17,1.25,1.0544675172761924,-0.00035407572775476577,-0.3550533220244695,1.0568321522135,0.2973866612916905,-0.09695599069027598,0
 なるほど、よくご存じですね・・,4.0,-1.4000000000000004,16.0,0,6,1.0,-0.6678062880972329,-1.537662366707023,-0.6505787072270893,-0.9462240507213308,-0.3139865495039046,-0.41090254382412034,1
 そうですか。そのスポーツはテレビで鑑賞はされますか・・,3.2,-0.7999999999999998,30.0,0,3,1.0,-1.651962748310618,-0.8788159562873363,0.38376014098208017,-0.9462240507213308,-0.4807246979027032,-0.41090254382412034,3
 なるほど、そうなんですね。,3.6,0.3999999999999999,13.0,0,81,4.413793103448277,-1.1598845182039255,0.438876864552036,-0.8722227461290543,-0.9462240507213308,3.8544671604660614,3.8760917679345828,2
 日本で開催されるオリンピックを、見にいく予定はありますか？,5.8,2.2,34.0,1,6,1.0,1.5465457473828845,2.415416095811095,0.6792855261847,1.0568321522135,-0.3139865495039046,-0.41090254382412034,5
 そうですね、わかります。,4.2,-1.5999999999999996,12.0,0,4,1.3333333333333333,-0.4217671730438862,-1.7572778368469177,-0.9461040924297093,-0.9462240507213308,-0.42514531510310366,0.007692860354338701,1
 なにかおすすめのスポーツ観戦はありますか？,4.8,0.5999999999999996,23.0,1,5,1.0,0.3163501721161525,0.658492334691931,-0.1334092831225046,1.0568321522135,-0.36956593230350415,-0.41090254382412034,0
 すみません，その質問にはお答えできかねます．,3.4,-1.4,25.0,0,4,1.0,-1.405923633257272,-1.5376623667070226,0.014353409478805312,-0.9462240507213308,-0.42514531510310366,-0.41090254382412034,1
