cls,freq,freq_1cls,ratio,agent_utterance,theme
0,1,1,1.0, そうなんですね．新しい知識が増えました！ありがとうございます！,default
0,1,1,1.0, そうなんですね，新しい知識が増えました，今度知りあいにもすすめてみたいと思います！,default
0,1,1,1.0, 楽しそうですね。今度知りあいにすすめてみたいと思います！,アニメ・漫画
0,8,8,1.0, 「エスエヌエス」を利用して、何か面白かったことはありますか・・,エスエヌエス
0,6,6,1.0, 子供から大人まで最近はスイッチというゲーム機でゲームをするのが流行っているみたいですね。,ゲーム
0,5,5,1.0, 私の知りあいはマリオテニスを試してみたそうです！あんがい体も動かせて楽しかったと言っていました。よろしければ、今度ためしてみてください！	,ゲーム
0,19,19,1.0, 1964年以来56年ぶりの日本でのオリンピック開催で，たくさんの競技が行われるのでいってみたいものですね！,スポーツ
0,4,4,1.0, これからの季節は暖かくなるので、散歩などは気持ちがいいですよね。,スポーツ
0,2,2,1.0, なるほど、面白そうですね，機会があればわたしも見てみたいです！,スポーツ
0,1,1,1.0, 私の知り合いは、子供と公園で遊ぶと、つぎの日は筋肉痛になるといっていました。,休日
0,2,2,1.0, お子さんと遊ぶのは体力が必要で、大変ですよね。,休日
0,2,2,1.0, 散歩とかエサの心配とかしなくていいので、居てくれるだけで、「安心する」という人もいるようです。,休日
0,3,3,1.0, 自動でカーテンをあけしめしてくれたり、ルンバで掃除を済ませてくれたりするそうです。,休日
0,8,8,1.0, 学生時代で、楽しかったエピソードを教えてください・・,学校
0,5,5,1.0, たとえば、たてものをみる、とか美術館にいく、とか、おいしいものをたべるとか・・,旅行
0,1,1,1.0, そうなんですか，では先程おすすめされたものをみんなに伝えてみますね！,映画
0,4,4,1.0, 私の知りあいは、本当は映画館でみたいそうですが、いつもテレビの放送ですませてしまうと言っていました・・,映画
0,4,4,1.0, なまで演奏をきくと、迫力があって、感動するみたいですね！,音楽
0,2,2,1.0, そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！,音楽
0,8,8,1.0, たくさんおしゃべりをすると、楽しくて、ストレスが発散できるようですね。,食事
0,8,8,1.0, 私の友人はあんこ系が好きだそうです。あずきときなこは、体や肌にいいそうで、よく食べてるそうです・・,食事
0,4,4,1.0, とても美味しそうですね。今度知りあいにもすすめてみようと思います・・,食事
1,128,128,1.0, なるほど、そうなんですね。,default
1,19,19,1.0, 本当ですか！,default
1,1,1,1.0, 大変ですよね。,default
1,18,18,1.0, ありがとうございます。,default
1,3,3,1.0, いいですね，とても興味深いです！,default
1,6,6,1.0, ありがとうございます。参考にさせていただきます。,default
1,4,4,1.0, そうですね、わかります。,default
1,8,8,1.0, 素敵な趣味ですね。,default
1,47,47,1.0, なるほど。,default
1,1,1,1.0, そうですか、残念です・・,default
1,57,57,1.0, そうなんですね。,default
1,3,3,1.0, よくご存じですね。,default
1,1,1,1.0, そうなんですか．,default
1,2,2,1.0, 面白いですよね。,default
1,2,2,1.0, たのしそうですね。,default
1,8,8,1.0, そうですね・・ぜひ参考にさせていただきます。,default
1,16,16,1.0, なるほど、勉強になります・・,default
1,1,1,1.0, そうなんですか．私も独自に調べてみますね．,default
1,10,10,1.0, はい、そうです。,default
1,2,2,1.0, なるほど、そうなんですね・・,default
1,10,10,1.0, 楽しそうですね！,default
1,7,7,1.0, なるほど、よくご存じですね・・,default
1,1,1,1.0, すごい！,default
1,4,4,1.0, そうですか、なかなかですね。,default
1,9,9,1.0, すごいですね。,default
1,5,5,1.0, すごいですね！,default
1,5,5,1.0, そうですね。,default
1,5,5,1.0, なるほど、面白そうですね！,default
1,31,31,1.0, もう少し詳しく教えていただいていいですか。,default
1,58,58,1.0, ありがとうございました・・,default
1,1,1,1.0, いいですね．使ってみると面白そうですね！,エスエヌエス
1,1,1,1.0, 「エスエヌエス」のともだちと実際に、会ったことはありますか・・,エスエヌエス
1,1,1,1.0, ほかにたいへんだったことはありますか・・,エスエヌエス
1,19,19,1.0, なるほど、そういうふうに利用されているのですね。,エスエヌエス
1,10,10,1.0, そうですか，いいものが見つかるといいですね．,エスエヌエス
1,2,2,1.0, いいですね，私も使ってみたいです！,エスエヌエス
1,9,9,1.0, いいですね。テレビ観戦も楽しそうですね！,スポーツ
1,10,10,1.0, なるほど、健康的で、ステキですね・・,スポーツ
1,2,2,1.0, そういった番組も面白いですよね。,ドラマ
1,12,12,1.0, そとで過ごすときはスポーツをしたりしますか・・,休日
1,1,1,1.0, いぬがたのロボットで、とてもかわいがる人もいるようです。,休日
1,3,3,1.0, 一度ネットワークにつなぐと、あとはラクなようですよ。,休日
1,1,1,1.0, 面白かったんですね！,学校
1,9,9,1.0, 貴重な体験談をありがとうございました・・,学校
1,4,4,1.0, 貴重な体験をされましたね・・,学校
1,20,20,1.0, 貴重な体験談をありがとうございました。,旅行
1,5,5,1.0, すごい！面白い体験をされましたね!,旅行
1,1,1,1.0, そうですか，では一度独自で調べてみますね！,映画
1,1,1,1.0, なるほど，では私もチェックしておきますね！,映画
1,10,10,1.0, とても楽しそうですね。,音楽
1,2,2,1.0, すごいですね。一度聞かせていただけるとうれしいです。,音楽
1,3,3,1.0, わたしも実際に、演奏をきいてみたいものです。,音楽
1,3,3,1.0, がっきは何を演奏するのですか。,音楽
1,2,2,1.0, そうですか。最近はまっている食べ物はありますか・・,食事
1,8,8,1.0, そうですか、とても美味しそうですね・・,食事
1,1,1,1.0, いい思い出だったようです。,食事
1,8,8,1.0, どこで食べられたんですか・・,食事
1,2,2,1.0, おばあちゃんがよく家で出してくれていたと言っていました。,食事
2,7,7,1.0, なるほど、それは面白そうですね。,default
2,4,4,1.0, なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！,default
2,3,3,1.0, それは大変ですよね。,default
2,3,3,1.0, そうなんですか．それでは一度独自で調べてみたいと思います．,default
2,6,6,1.0, それは面白そうですね。,default
2,3,3,1.0, そうですか。そのスポーツはテレビで鑑賞はされますか・・,スポーツ
2,2,2,1.0, そのスポーツのおすすめポイントを教えてください＾＾,スポーツ
2,12,12,1.0, それは楽しい時間でしたね！,学校
2,6,6,1.0, それはご活躍されたんですね・・,学校
2,4,4,1.0, それはたいへんでしたね。,学校
2,4,4,1.0, それは面白い体験ですね！,学校
2,10,10,1.0, なるほど、それは素晴らしい経験ですね。,旅行
2,7,7,1.0, なるほど、それはリラックスできますね。,旅行
2,5,5,1.0, その旅先で何かハプニングはありましたか!,旅行
2,14,14,1.0, それは、美味しそうですね。,旅行
2,22,22,1.0, その旅先で美味しい食べ物はたべましたか・・,旅行
2,4,4,1.0, 先日、旅行にいったしりあいが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです・・,旅行
2,4,4,1.0, なるほど、それは面白そうですね！私も観てみたいです！,映画
2,1,1,1.0, なるほど、それは面白そうですね。今度知りあいにすすめてみます。,本
2,11,11,1.0, なるほど、それは美味しそうですね・・,食事
2,1,1,1.0, 具体的にどういう味か教えてください。,食事
3,3,3,1.0, どういったところが好きなんですか？,default
3,2,2,1.0, ほかには、ありますか？,default
3,1,1,1.0, 最近アニメや漫画をよく見ますか？,アニメ・漫画
3,2,2,1.0, 見たことのあるものの中で一番好きなものはなんですか？,アニメ・漫画
3,2,2,1.0, おすすめの漫画ってありますか？,アニメ・漫画
3,1,1,1.0, おすすめのアニメってありますか？,アニメ・漫画
3,15,15,1.0, 「エスエヌエス」を利用していてハプニングにあったことはありますか？,エスエヌエス
3,3,3,1.0, これは「おすすめ」というものはありますか？,エスエヌエス
3,21,21,1.0, ショッピングで「アマゾン」などはよく利用しますか？,エスエヌエス
3,25,25,1.0, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？,エスエヌエス
3,13,13,1.0, おすすめの便利なきのうとかはありますか？,エスエヌエス
3,10,10,1.0, 使い心地はどうですか？,エスエヌエス
3,1,1,1.0, 好きなゲームやおすすめのゲームってありますか？,ゲーム
3,5,5,1.0, 最近ハマっているゲームはありますか？,ゲーム
3,4,4,1.0, いつもはどんなジャンルのゲームをするんですか？,ゲーム
3,6,6,1.0, 代表的なものにスプラトゥーンやカービィ、マリオのゲームなどありますが、遊んだことはありますか？,ゲーム
3,2,2,1.0, 携帯ゲームかテレビゲームならどちらをしますか？,ゲーム
3,5,5,1.0, ゲームはよくする方なんですか？,ゲーム
3,3,3,1.0, では、やったことのあるゲームの中で、もう一度やりたいものはありますか？,ゲーム
3,1,1,1.0, スポーツはよくするんですか？,スポーツ
3,7,7,1.0, 最近スポーツはしましたか？,スポーツ
3,4,4,1.0, そうですか。テレビでの観戦はなされるんですか？,スポーツ
3,1,1,1.0, 見るのが好きなんですね．最近はどこで見たんですか？,スポーツ
3,1,1,1.0, どんなスポーツをされましたか？,スポーツ
3,3,3,1.0, 好きなスポーツはなんですか？,スポーツ
3,15,15,1.0, オリンピックは今までに見たことはありますか？,スポーツ
3,7,7,1.0, 競技はなにをご覧になりますか？,スポーツ
3,16,16,1.0, 日本で開催されるオリンピックを、見にいく予定はありますか？,スポーツ
3,20,20,1.0, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？,スポーツ
3,6,6,1.0, スポーツをする目的は何ですか？,スポーツ
3,5,5,1.0, なにかおすすめのスポーツ観戦はありますか？,スポーツ
3,16,16,1.0, 健康のため、とか、リフレッシュするため、とかですか？,スポーツ
3,13,13,1.0, さいきんドラマは見ましたか？,ドラマ
3,1,1,1.0, では，おすすめのドラマは何ですか？よろしければ教えてください。,ドラマ
3,4,4,1.0, 健康番組、とかトーク番組とか見られますか？,ドラマ
3,2,2,1.0, あまり見ないんですね。では、今までに見た中で一番好きなドラマはありますか？,ドラマ
3,5,5,1.0, ドラマはよく見る方ですか？,ドラマ
3,29,29,1.0, 休日は家で過ごすほうが多いですか？外出することが多いですか？,休日
3,2,2,1.0, お子さんとはよく公園で遊びますか？,休日
3,26,26,1.0, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？,休日
3,1,1,1.0, 何をして遊ぶことが多いですか？,休日
3,4,4,1.0, 家事はひとりでぜんぶしますか？家族は協力してくれたりしますか？,休日
3,10,10,1.0, 人工知能を搭載した、ルンバのような家電を使ったことはありますか？,休日
3,2,2,1.0, 人工知能を搭載した、アイボのようなロボットに興味はありますか？,休日
3,7,7,1.0, グーグルホームのようなスピーカーを使って、家事を効率化させたいとは思いますか？,休日
3,3,3,1.0, ほかにたいへんだったことはありますか？,学校
3,7,7,1.0, ほかにエピソードはありますか？,学校
3,3,3,1.0, 最近、学校にはいきましたか？,学校
3,7,7,1.0, 運動会や、学芸会などのイベントで面白かった体験はありますか？,学校
3,6,6,1.0, 最近、お子さんの学校のピーティーエーはたいへんと聞きますが、参加されたことはありますか？,学校
3,9,9,1.0, 学生時代、一番楽しかった学年はありますか？,学校
3,5,5,1.0, 学生時代、たいへんだった体験はありますか？,学校
3,10,10,1.0, 旅行はどこに行ったことがありますか？,旅行
3,15,15,1.0, 「温泉」などリフレッシュするためにいきますか？,旅行
3,4,4,1.0, 旅行にはよく行かれますか？,旅行
3,16,16,1.0, ほかには何か面白いことはありましたか？,旅行
3,23,23,1.0, 今までいった「旅行」で特におすすめの場所はありますか？,旅行
3,4,4,1.0, 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？,旅行
3,11,11,1.0, 旅行に行くときはなにか目的はありますか？,旅行
3,23,23,1.0, さいきん旅行には行きましたか？,旅行
3,5,5,1.0, 洋画が好きなんですか，おすすめの洋画ってありますか？,映画
3,11,11,1.0, 最近見た映画はありますか？,映画
3,4,4,1.0, では，もう一度見たい映画はありますか？,映画
3,3,3,1.0, では，最近どんな映画を見られたんですか？,映画
3,4,4,1.0, 「映画館」か「テレビ」かどちらでよく映画をみますか？,映画
3,3,3,1.0, 邦画が好きなんですか，おすすめの邦画ってありますか？,映画
3,2,2,1.0, 最近映画は見ましたか？,映画
3,3,3,1.0, おすすめの映画ってありますか？,映画
