cls,freq,freq_1cls,ratio,agent_utterance,theme
0,2,1,0.5, たのしそうですね。,default
0,3,3,1.0, いいですね，とても興味深いです！,default
0,3,1,0.33, よくご存じですね。,default
0,58,3,0.05, ありがとうございました・・,default
0,8,3,0.38, 素敵な趣味ですね。,default
0,9,5,0.56, すごいですね。,default
0,7,2,0.29, なるほど、よくご存じですね・・,default
0,5,1,0.2, すごいですね！,default
0,31,2,0.06, もう少し詳しく教えていただいていいですか。,default
0,47,13,0.28, なるほど。,default
0,57,5,0.09, そうなんですね。,default
0,2,1,0.5, なるほど、そうなんですね・・,default
0,4,2,0.5, そうですね、わかります。,default
0,19,9,0.47, 本当ですか！,default
0,8,4,0.5, そうですね・・ぜひ参考にさせていただきます。,default
0,4,2,0.5, そうですか、なかなかですね。,default
0,10,2,0.2, 楽しそうですね！,default
0,16,6,0.38, なるほど、勉強になります・・,default
0,5,1,0.2, そうですね。,default
0,5,1,0.2, なるほど、面白そうですね！,default
0,19,9,0.47, なるほど、そういうふうに利用されているのですね。,エスエヌエス
0,1,1,1.0, 「エスエヌエス」のともだちと実際に、会ったことはありますか・・,エスエヌエス
0,1,1,1.0, いいですね．使ってみると面白そうですね！,エスエヌエス
0,10,2,0.2, なるほど、健康的で、ステキですね・・,スポーツ
0,4,4,1.0, 貴重な体験をされましたね・・,学校
0,1,1,1.0, 面白かったんですね！,学校
0,10,1,0.1, なるほど、それは素晴らしい経験ですね。,旅行
0,5,1,0.2, すごい！面白い体験をされましたね!,旅行
0,15,1,0.07, 「温泉」などリフレッシュするためにいきますか？,旅行
0,1,1,1.0, なるほど，では私もチェックしておきますね！,映画
0,10,1,0.1, とても楽しそうですね。,音楽
0,8,1,0.12, どこで食べられたんですか・・,食事
1,3,3,1.0, どういったところが好きなんですか？,default
1,2,1,0.5, ほかには、ありますか？,default
1,2,1,0.5, おすすめの漫画ってありますか？,アニメ・漫画
1,2,2,1.0, 見たことのあるものの中で一番好きなものはなんですか？,アニメ・漫画
1,1,1,1.0, 最近アニメや漫画をよく見ますか？,アニメ・漫画
1,25,14,0.56, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？,エスエヌエス
1,10,8,0.8, 使い心地はどうですか？,エスエヌエス
1,13,4,0.31, おすすめの便利なきのうとかはありますか？,エスエヌエス
1,15,3,0.2, 「エスエヌエス」を利用していてハプニングにあったことはありますか？,エスエヌエス
1,21,16,0.76, ショッピングで「アマゾン」などはよく利用しますか？,エスエヌエス
1,3,1,0.33, これは「おすすめ」というものはありますか？,エスエヌエス
1,3,1,0.33, では、やったことのあるゲームの中で、もう一度やりたいものはありますか？,ゲーム
1,6,1,0.17, 代表的なものにスプラトゥーンやカービィ、マリオのゲームなどありますが、遊んだことはありますか？,ゲーム
1,5,3,0.6, ゲームはよくする方なんですか？,ゲーム
1,5,3,0.6, 最近ハマっているゲームはありますか？,ゲーム
1,2,1,0.5, 携帯ゲームかテレビゲームならどちらをしますか？,ゲーム
1,4,4,1.0, いつもはどんなジャンルのゲームをするんですか？,ゲーム
1,16,7,0.44, 日本で開催されるオリンピックを、見にいく予定はありますか？,スポーツ
1,7,5,0.71, 競技はなにをご覧になりますか？,スポーツ
1,15,7,0.47, オリンピックは今までに見たことはありますか？,スポーツ
1,1,1,1.0, 見るのが好きなんですね．最近はどこで見たんですか？,スポーツ
1,1,1,1.0, どんなスポーツをされましたか？,スポーツ
1,6,5,0.83, スポーツをする目的は何ですか？,スポーツ
1,5,3,0.6, なにかおすすめのスポーツ観戦はありますか？,スポーツ
1,20,20,1.0, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？,スポーツ
1,7,3,0.43, 最近スポーツはしましたか？,スポーツ
1,4,3,0.75, そうですか。テレビでの観戦はなされるんですか？,スポーツ
1,16,15,0.94, 健康のため、とか、リフレッシュするため、とかですか？,スポーツ
1,3,3,1.0, 好きなスポーツはなんですか？,スポーツ
1,1,1,1.0, では，おすすめのドラマは何ですか？よろしければ教えてください。,ドラマ
1,4,2,0.5, 健康番組、とかトーク番組とか見られますか？,ドラマ
1,5,3,0.6, ドラマはよく見る方ですか？,ドラマ
1,2,1,0.5, あまり見ないんですね。では、今までに見た中で一番好きなドラマはありますか？,ドラマ
1,13,9,0.69, さいきんドラマは見ましたか？,ドラマ
1,2,1,0.5, 人工知能を搭載した、アイボのようなロボットに興味はありますか？,休日
1,7,3,0.43, グーグルホームのようなスピーカーを使って、家事を効率化させたいとは思いますか？,休日
1,4,2,0.5, 家事はひとりでぜんぶしますか？家族は協力してくれたりしますか？,休日
1,10,3,0.3, 人工知能を搭載した、ルンバのような家電を使ったことはありますか？,休日
1,2,2,1.0, お子さんとはよく公園で遊びますか？,休日
1,29,29,1.0, 休日は家で過ごすほうが多いですか？外出することが多いですか？,休日
1,26,26,1.0, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？,休日
1,1,1,1.0, 何をして遊ぶことが多いですか？,休日
1,3,1,0.33, 最近、学校にはいきましたか？,学校
1,3,2,0.67, ほかにたいへんだったことはありますか？,学校
1,9,5,0.56, 学生時代、一番楽しかった学年はありますか？,学校
1,7,4,0.57, 運動会や、学芸会などのイベントで面白かった体験はありますか？,学校
1,7,5,0.71, ほかにエピソードはありますか？,学校
1,5,2,0.4, 学生時代、たいへんだった体験はありますか？,学校
1,6,3,0.5, 最近、お子さんの学校のピーティーエーはたいへんと聞きますが、参加されたことはありますか？,学校
1,15,9,0.6, 「温泉」などリフレッシュするためにいきますか？,旅行
1,11,7,0.64, 旅行に行くときはなにか目的はありますか？,旅行
1,23,19,0.83, 今までいった「旅行」で特におすすめの場所はありますか？,旅行
1,10,9,0.9, 旅行はどこに行ったことがありますか？,旅行
1,4,4,1.0, 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？,旅行
1,23,14,0.61, さいきん旅行には行きましたか？,旅行
1,16,10,0.62, ほかには何か面白いことはありましたか？,旅行
1,4,3,0.75, 旅行にはよく行かれますか？,旅行
1,3,1,0.33, では，最近どんな映画を見られたんですか？,映画
1,11,6,0.55, 最近見た映画はありますか？,映画
1,5,3,0.6, 洋画が好きなんですか，おすすめの洋画ってありますか？,映画
1,3,1,0.33, 邦画が好きなんですか，おすすめの邦画ってありますか？,映画
1,4,2,0.5, 「映画館」か「テレビ」かどちらでよく映画をみますか？,映画
1,3,3,1.0, おすすめの映画ってありますか？,映画
1,4,3,0.75, では，もう一度見たい映画はありますか？,映画
1,2,2,1.0, 最近映画は見ましたか？,映画
1,7,3,0.43, 本はよく読む方ですか？,本
1,2,1,0.5, あまり読まないんですね。では今までに読んだ中で一番好きな本はありますか？,本
1,3,1,0.33, よく読むんですか。いいですね。おすすめの作者や本はありますか？,本
1,6,3,0.5, 最近本は読みましたか？,本
1,22,20,0.91, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？,音楽
1,2,2,1.0, クラシックが好きなんですか。おすすめの作曲者やきょくってありますか？,音楽
1,6,3,0.5, コンサートとかには行きますか？,音楽
1,3,2,0.67, おすすめの歌手やきょくってありますか？,音楽
1,6,3,0.5, 最近音楽は聞きましたか？,音楽
1,8,5,0.62, 邦楽が好きなんですか。おすすめの歌手やきょくってありますか？,音楽
1,4,3,0.75, カラオケに行くときはお友達と行きますか？,音楽
1,7,3,0.43, おすすめの曲はありますか？,音楽
1,6,5,0.83, 洋楽が好きなんですか。おすすめの歌手やきょくってありますか？,音楽
1,3,2,0.67, カラオケで歌ったりするのですか？,音楽
1,14,9,0.64, カラオケは好きですか？,音楽
1,9,6,0.67, カラオケでよくなにをうたうのですか？,音楽
1,15,13,0.87, からい食べものとはどんな食べものが好きですか？,食事
1,24,24,1.0, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,食事
1,23,18,0.78, なるほど、普段はどこでスイーツを買いますか？,食事
1,30,30,1.0, 甘いものと、からいものどちらがお好きですか？,食事
1,17,13,0.76, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？,食事
1,9,8,0.89, お友達とランチに行ったりしますか？,食事
