default,アニメ・漫画,エスエヌエス,ゲーム,スポーツ,ドラマ,休日,学校,旅行,映画,本,音楽,食事
20.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0
2.0,3.0,6.0,6.0,12.0,5.0,8.0,7.0,8.0,8.0,4.0,12.0,8.0
8.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,4.0,5.0,4.0,2.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,6.0,6.0,8.0,4.0,4.0,7.0,6.0,5.0,4.0,11.0,6.0
5.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,6.0,1.0,1.0,0.0,2.0
16.0,0.0,2.0,0.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,3.0,3.0
13.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
2.0,1.0,1.0,2.0,3.0,0.0,4.0,1.0,1.0,2.0,0.0,2.0,3.0
9.0,2.0,4.0,1.0,3.0,2.0,2.0,6.0,9.0,5.0,4.0,4.0,1.0
