default,アニメ・漫画,エスエヌエス,ゲーム,スポーツ,ドラマ,休日,学校,旅行,映画,本,音楽,食事
8.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0,3.0,1.0,3.0,2.0
19.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,3.0
8.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0
1.0,0.0,3.0,1.0,3.0,1.0,4.0,5.0,7.0,5.0,3.0,9.0,3.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,2.0,6.0,3.0,3.0,3.0,6.0,3.0,2.0,6.0,2.0
0.0,0.0,1.0,2.0,1.0,1.0,5.0,2.0,2.0,0.0,1.0,4.0,3.0
5.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,2.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,3.0,4.0,4.0,4.0,3.0,0.0,5.0,6.0,6.0,2.0,5.0,4.0
17.0,0.0,3.0,0.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,3.0,5.0
2.0,1.0,1.0,2.0,3.0,0.0,4.0,1.0,1.0,2.0,0.0,2.0,3.0
8.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,5.0,2.0,2.0
0.0,2.0,6.0,6.0,7.0,4.0,3.0,5.0,6.0,5.0,4.0,10.0,3.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,1.0
11.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,2.0,9.0,0.0,4.0,1.0,3.0,3.0,0.0,4.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
