default,アニメ・漫画,エスエヌエス,ゲーム,スポーツ,ドラマ,休日,学校,旅行,映画,本,音楽,食事
8.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,4.0,5.0,4.0,2.0
1.0,0.0,3.0,2.0,10.0,0.0,4.0,3.0,4.0,5.0,0.0,8.0,7.0
22.0,1.0,4.0,0.0,3.0,1.0,3.0,1.0,2.0,0.0,0.0,5.0,6.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,6.0,1.0,1.0,0.0,2.0
0.0,0.0,1.0,2.0,2.0,0.0,4.0,1.0,1.0,2.0,0.0,1.0,2.0
0.0,2.0,6.0,6.0,7.0,4.0,4.0,7.0,6.0,5.0,4.0,11.0,6.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,3.0,6.0,6.0,7.0,5.0,8.0,5.0,8.0,7.0,5.0,10.0,6.0
26.0,0.0,4.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,4.0
