cls,freq,freq_1cls,ratio,agent_utterance,theme
0,5,4,0.8, すごいですね！,default
0,58,55,0.95, ありがとうございました・・,default
0,1,1,1.0, そうなんですか．私も独自に調べてみますね．,default
0,47,27,0.57, なるほど。,default
0,8,3,0.38, そうですね・・ぜひ参考にさせていただきます。,default
0,9,4,0.44, すごいですね。,default
0,10,5,0.5, 楽しそうですね！,default
0,4,2,0.5, そうですね、わかります。,default
0,5,3,0.6, なるほど、面白そうですね！,default
0,6,5,0.83, ありがとうございます。参考にさせていただきます。,default
0,8,5,0.62, 素敵な趣味ですね。,default
0,10,9,0.9, はい、そうです。,default
0,7,1,0.14, なるほど、よくご存じですね・・,default
0,2,1,0.5, たのしそうですね。,default
0,19,9,0.47, 本当ですか！,default
0,3,2,0.67, よくご存じですね。,default
0,1,1,1.0, そうなんですね．新しい知識が増えました！ありがとうございます！,default
0,4,2,0.5, そうですか、なかなかですね。,default
0,16,9,0.56, なるほど、勉強になります・・,default
0,57,42,0.74, そうなんですね。,default
0,1,1,1.0, すごい！,default
0,31,18,0.58, もう少し詳しく教えていただいていいですか。,default
0,18,17,0.94, ありがとうございます。,default
0,2,2,1.0, 面白いですよね。,default
0,1,1,1.0, 大変ですよね。,default
0,5,3,0.6, そうですね。,default
0,1,1,1.0, そうですか、残念です・・,default
0,1,1,1.0, そうなんですか．,default
0,1,1,1.0, 楽しそうですね。今度知りあいにすすめてみたいと思います！,アニメ・漫画
0,1,1,1.0, ほかにたいへんだったことはありますか・・,エスエヌエス
0,2,2,1.0, いいですね，私も使ってみたいです！,エスエヌエス
0,19,7,0.37, なるほど、そういうふうに利用されているのですね。,エスエヌエス
0,10,8,0.8, そうですか，いいものが見つかるといいですね．,エスエヌエス
0,2,1,0.5, なるほど、面白そうですね，機会があればわたしも見てみたいです！,スポーツ
0,9,9,1.0, いいですね。テレビ観戦も楽しそうですね！,スポーツ
0,10,7,0.7, なるほど、健康的で、ステキですね・・,スポーツ
0,2,1,0.5, そういった番組も面白いですよね。,ドラマ
0,12,11,0.92, そとで過ごすときはスポーツをしたりしますか・・,休日
0,1,1,1.0, いぬがたのロボットで、とてもかわいがる人もいるようです。,休日
0,3,3,1.0, 一度ネットワークにつなぐと、あとはラクなようですよ。,休日
0,9,9,1.0, 貴重な体験談をありがとうございました・・,学校
0,20,20,1.0, 貴重な体験談をありがとうございました。,旅行
0,5,3,0.6, すごい！面白い体験をされましたね!,旅行
0,1,1,1.0, そうですか，では一度独自で調べてみますね！,映画
0,3,2,0.67, がっきは何を演奏するのですか。,音楽
0,3,3,1.0, わたしも実際に、演奏をきいてみたいものです。,音楽
0,2,2,1.0, すごいですね。一度聞かせていただけるとうれしいです。,音楽
0,10,7,0.7, とても楽しそうですね。,音楽
0,2,1,0.5, そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！,音楽
0,8,7,0.88, どこで食べられたんですか・・,食事
0,1,1,1.0, いい思い出だったようです。,食事
0,2,2,1.0, おばあちゃんがよく家で出してくれていたと言っていました。,食事
0,8,7,0.88, そうですか、とても美味しそうですね・・,食事
0,2,2,1.0, そうですか。最近はまっている食べ物はありますか・・,食事
0,4,2,0.5, とても美味しそうですね。今度知りあいにもすすめてみようと思います・・,食事
1,13,11,0.85, 具体的には教えてもらえますか？,default
1,5,4,0.8, それのどういったところが好きなんですか？,default
1,6,5,0.83, そのほかにおすすめのものはありますか？,default
1,2,1,0.5, そのほかで、おすすめのものはありますか？あったら教えてください．,default
1,20,19,0.95, 具体的に教えてもらっていいですか？,default
1,19,19,1.0, 具体的にはどういったものですか？,default
1,9,9,1.0, 具体的には何ですか？,default
1,3,3,1.0, 具体的に教えてください？,default
1,80,72,0.9, それは一体どういった内容なんですか？,アニメ・漫画
1,17,15,0.88, 具体的にどういったものを買いますか？,エスエヌエス
1,15,13,0.87, 具体的になんのために利用していますか？,エスエヌエス
1,1,1,1.0, それはなんていう作品なんですか？,ゲーム
1,4,3,0.75, そのゲームのどんなところが好きなんですか？,ゲーム
1,16,14,0.88, そのほか健康のために、気をつけていることはありますか？,スポーツ
1,3,3,1.0, するのが好きなんですね．最近はどちらでそのスポーツを楽しみましたか？,スポーツ
1,9,9,1.0, スポーツはするほうが好きですか？それとも見るほうが好きですか？,スポーツ
1,9,9,1.0, そのドラマはどんな内容なんですか？,ドラマ
1,5,5,1.0, そのドラマのどういったところが好きなんですか？,ドラマ
1,1,1,1.0, 公園は近くにありますか？それとも自転車に乗って行かないと行けないですか？,休日
1,14,12,0.86, その時、どんなことをしたのですか？,学校
1,8,6,0.75, 今までの体験の中で、そのほか、楽しかったことはありますか？,学校
1,23,17,0.74, その旅先で何が一番楽しかったですか？,旅行
1,4,4,1.0, 映画では洋画，邦画，それ以外のどれが好きですか？,映画
1,80,72,0.9, それは一体どういった内容なんですか？,映画
1,1,1,1.0, それ以外が好きなんですか，どんなジャンルの映画が好きなんですか？,映画
1,3,2,0.67, その本のどういったところが好きなんですか？,本
1,1,1,1.0, その作者のどういったところが好きなんですか？,本
1,1,1,1.0, それはどんな「内容」なんですか？,本
1,1,1,1.0, そうなんですか，その作品はおすすめですか？,本
1,3,3,1.0, 本を買うときは本屋さんにいきますか？それともウェブで「ダウンロード」しますか？,本
1,1,1,1.0, その作曲者のどういうところが好きなんですか？,音楽
1,10,10,1.0, その歌手のどういうところが好きなんですか？,音楽
1,7,7,1.0, そのきょくのどういうところが好きなんですか？,音楽
1,8,6,0.75, そのほか「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？,音楽
1,12,12,1.0, それは「最近」食べられたんですか？,食事
1,20,20,1.0, なるほど、その中でもおすすめのスイーツはありますか？,食事
