name,d,v,t,f,label
1902F2001_010,4.10017819114926,4.1070618979398015,4.1,4.111205173927118,4.0
1902F2001_019,4.0999723070921705,4.135180500705101,4.1,4.0743567431803385,4.0
1902F2001_020,4.100185312937431,4.1102388784232184,4.1,3.9938944598447703,4.0
1902F2001_044,4.100086319695023,4.100700717338128,4.1,4.036644327196662,4.2
1902F2001_057,4.099995917483765,4.11077557559301,4.1,4.084988995616028,4.0
1902F2001_083,4.099995917483765,4.096405927251996,4.1,4.133455721244593,4.0
1902F2001_094,4.100298483657043,4.105239063643315,4.1,4.0871120296575665,4.0
1902F2002_007,4.09996843232526,4.113708251325433,4.1,4.113760280114025,4.0
1902F2002_022,4.1004280424976765,4.140002835316046,4.1,4.100313647822178,4.0
1902F2002_026,4.099932305108039,4.100379506990423,4.1,4.078937508237997,4.0
1902F2002_035,4.099886687088762,4.121329352352505,4.1,4.067136428651074,4.0
1902F2002_041,4.099932305108039,4.102794383936836,4.1,4.087337159811753,4.0
1902F2002_042,4.099970236191276,4.088360844899975,4.1,4.110014754367488,4.2
1902F2002_050,4.099795490725571,4.096233689688569,4.1,4.110309560293018,4.0
1902F2002_080,4.099858533708146,4.098673705462181,4.1,4.141970249610764,4.0
1902F2002_081,4.100193457110671,4.09865954015602,4.1,4.104059430686388,4.0
1902F3001_007,4.100887712185648,4.102277676786841,4.1,4.106200001233763,4.2
1902F3001_014,4.100583105752602,4.1033362991669975,4.1,4.0936542674851175,4.0
1902F3001_016,4.100209191708221,4.10202416150515,4.1,4.087161096919993,4.0
1902F3001_019,4.100583105752602,4.103233369383383,4.1,4.071534370704612,2.8
1902F3001_026,4.100123477939853,4.1047170399186665,4.1,4.100176036637176,4.0
1902F3001_035,4.100583105752602,4.107402257860723,4.1,4.093941443700732,3.8
1902F3001_047,4.100583105752602,4.108788139992448,4.1,4.047129223216191,4.0
1902F3001_048,4.100123477939853,4.107211913383626,4.1,4.073219434515061,4.0
1902F3002_007,4.100661714181312,4.111931840671196,4.1,4.056736883974905,4.0
1902F3002_021,4.100400529572752,4.101660442809458,4.1,4.132599888664444,4.0
1902F3002_022,4.100245254371222,4.116346465034111,4.1,4.109566413193319,4.4
1902F3002_031,4.100400529572752,4.101944680915321,4.1,4.067907853999577,4.0
1902F3002_036,4.100035427409132,4.09476824922394,4.1,4.121778654171048,4.2
1902F3002_043,4.100032524612766,4.105660698238824,4.1,4.065307054180961,4.2
1902F3002_055,4.100031946000895,4.097516006989531,4.1,4.0607413353597295,4.0
1902F3002_056,4.100629315109758,4.103149788916987,4.1,4.094855812527024,3.8
1902F3002_070,4.099735302732315,4.105580306452905,4.1,4.100625304728411,4.2
1902F4004_007,4.100441772520198,4.096894816659391,4.1,4.117068071417188,4.0
1902F4004_019,4.100028504081937,4.102119499682347,4.1,4.090061560880576,4.0
1902F4004_020,4.099809697956385,4.1007117985758645,4.1,4.08232912963882,4.2
1902F4004_024,4.100246743328764,4.103521189036939,4.1,4.057358551774414,4.2
1902F4004_032,4.0999073810758615,4.1020182417343936,4.1,4.106716484961023,4.2
1902F4004_041,4.099915267064079,4.096835270345164,4.1,4.038332953893407,4.0
1902F4004_047,4.100123913277013,4.115055371386445,4.1,4.093998395550981,4.0
1902F4004_060,4.100387651494386,4.1156584534915055,4.1,4.062371467097877,4.2
1902F4004_061,4.100662602911614,4.106935795093953,4.1,4.065572020746636,4.2
1902F4005_009,4.100547351184383,4.099921830271709,4.1,4.105116364528863,4.0
1902F4005_021,4.100340722417749,4.1146465734304725,4.1,4.067224044514223,4.0
1902F4005_022,4.100345581005987,4.094195027825543,4.1,4.056382909382408,4.0
1902F4005_025,4.100021847740125,4.095873217920539,4.1,4.054518587715237,4.2
1902F4005_052,4.100340722417749,4.101410172103094,4.1,4.078751629933597,4.0
1902F4005_064,4.100791325110389,4.111526856863223,4.1,4.087154442423386,4.0
1902F4005_078,4.100340722417749,4.105011334589048,4.1,4.088833908865615,4.0
1902F4005_079,4.099642039934005,4.104275331820832,4.1,4.074665265438475,4.0
1902F4006_009,4.100081265741545,4.1071398582525145,4.1,4.112713007981886,4.2
1902F4006_021,4.0999905843265365,4.103780296359001,4.1,4.0646322116351055,4.0
1902F4006_022,4.100375038583932,4.10546954127214,4.1,4.027030603525736,4.2
1902F4006_025,4.099860593408002,4.122036300908149,4.1,4.09113389082434,4.2
1902F4006_034,4.0999239813118615,4.098350514239027,4.1,4.095257289697117,4.0
1902F4006_043,4.100129199625375,4.116769967815263,4.1,4.111774320635032,4.0
1902F4006_059,4.100333523983723,4.1087788674417745,4.1,4.034194254257958,4.0
1902F4006_060,4.099758932509997,4.113369848804269,4.1,4.026559465997276,4.0
1902F4006_074,4.100333523983723,4.101128396417495,4.1,4.02645401915659,4.0
1902F4006_088,4.100655531671624,4.107702453769225,4.1,4.067285117192363,4.0
1902F4006_099,4.100129199625375,4.113838988114369,4.1,4.063822146406537,4.0
1902F4007_009,4.100526730843189,4.0990898411780705,4.1,4.118666689354103,4.4
1902F4007_017,4.100018713835366,4.106548619824912,4.1,4.072846598978735,4.0
1902F4007_018,4.100184275606496,4.122161599563457,4.1,4.091207426820963,3.6
1902F4007_038,4.099688760194942,4.1050080736694285,4.1,4.093428357361365,4.0
1902F4007_047,4.100822273031367,4.095551105104958,4.1,4.072190133702466,4.0
1902F4007_059,4.099688760194942,4.101896298970977,4.1,4.072662473657776,4.0
1902F4008_009,4.100481208603475,4.111869260278654,4.1,4.125117879008752,4.0
1902F4008_022,4.100375038583932,4.102090440187599,4.1,4.092049298649449,4.0
1902F4008_033,4.100481208603475,4.110004192624054,4.1,4.089822522569394,4.0
1902F4008_037,4.0999905843265365,4.140839944216395,4.1,4.101354322833546,4.0
1902F4008_038,4.100333523983723,4.101604082412531,4.1,4.0815081258122525,4.0
1902F4008_054,4.100655531671624,4.107572962097845,4.1,4.091610165651371,4.0
1902F4008_066,4.100129199625375,4.094249472522096,4.1,4.086818646937521,4.0
1902F4009_009,4.100101226721129,4.099655412295515,4.1,4.070339495517783,4.0
1902F4009_022,4.100210162152969,4.10131662953219,4.1,4.071732950139571,4.0
1902F4009_038,4.0999905843265365,4.105650978704804,4.1,4.090397621335445,4.0
1902F4009_039,4.0999905843265365,4.0979466591518,4.1,4.097265158982037,4.0
1902F4009_047,4.099852297691296,4.098112577242565,4.1,4.079646143840252,4.0
1902F4009_057,4.099852297691296,4.111948422466987,4.1,4.087690490412261,4.0
1902F4009_072,4.0999905843265365,4.100086353488809,4.1,4.069561298971271,4.2
1902F4009_079,4.100236457101753,4.1019427728881315,4.1,4.0855210111572715,4.0
1902F4009_091,4.099852297691296,4.099483028705748,4.1,4.089209707140951,4.0
1902F4010_008,4.100412395077243,4.100029931809088,4.1,4.087621563767018,4.4
1902F4010_021,4.099870150204252,4.099759393012344,4.1,4.092488266314692,4.0
1902F4010_022,4.100426243940219,4.098127224563986,4.1,4.058835503992025,4.2
1902F4010_040,4.099965507997325,4.114914310255484,4.1,4.119507794993309,4.0
1902F4010_049,4.099859031113858,4.106961698709359,4.1,4.104316531203854,4.0
1902F4010_050,4.099623971907839,4.094488876133229,4.1,4.077475490451707,4.0
1902F4010_070,4.100132770984799,4.1104065417220825,4.1,4.114830668390832,4.0
1902F4010_071,4.100130532758346,4.095702093531253,4.1,4.108849758422934,4.0
1902F4010_085,4.099757041010327,4.120891211334015,4.1,4.128099230161304,4.2
1902F4011_007,4.100155585067454,4.1291106711067975,4.1,4.086683139242292,4.4
1902F4011_021,4.100140862392916,4.098435317067883,4.1,4.099195270999829,4.0
1902F4011_022,4.099909582028617,4.101886095831717,4.1,4.113539451347664,4.0
1902F4011_025,4.100119872367729,4.101917667374023,4.1,4.0906678117227795,3.6
1902F4011_041,4.100001267575447,4.102303051114311,4.1,4.109827556519865,3.8
1902F4011_066,4.100507130806315,4.098795380857273,4.1,4.083415161137733,4.0
1902F4011_067,4.100198832198149,4.10587197345385,4.1,4.103137994450945,4.0
1902F6001_009,4.100481208603475,4.099988795512855,4.1,4.09306347861291,4.0
1902F6001_024,4.100375038583932,4.097129141425478,4.1,4.08988807615964,4.0
