name,d,v,t,f,label,fusion_pred
1902F4001_001,4.517274785842536,4.414240611633598,4.4555136487205615,4.004732368763029,4.4,4.1272037586086
1902F4001_002,4.725126682372333,4.700825484928568,4.837535079674746,4.048835445385185,4.4,4.345955361025637
1902F4001_003,4.8482900925939125,4.4012229729759005,5.000052519424926,4.910352932194264,4.4,4.730085440870795
1902F4001_004,4.826187998951976,4.173598482381335,5.033548594489647,4.814281960941472,4.4,4.656637462899546
1902F4001_005,5.0897111410638685,4.424311026774878,5.258178630882545,5.252408024632309,4.6,5.001060087274625
1902F4001_006,4.868186899206405,4.864705973277381,5.001153617218606,4.281586232223267,5.2,4.653735306017042
1902F4001_007,4.962987159015476,4.33929182732324,4.867748894322276,4.32649816551624,5.0,4.373780626352446
1902F4001_008,4.100333523983723,4.098387744148492,4.1,4.073503071514726,4.0,4.100610971896175
1902F4001_009,4.100481208603475,4.0971951438710486,4.1,4.074683397035694,4.0,4.100807310848344
1902F4001_010,4.8409424875406435,4.593097742770161,5.3001046795243445,5.008429592901795,5.2,4.928212884835881
1902F4001_011,5.2277034874450425,4.706121605096121,5.250141243480898,5.105171036272133,4.6,5.070819676501785
1902F4001_012,4.793912344801567,4.781308698962898,4.972251737498817,5.290316244112892,4.0,4.969567493464132
1902F4001_013,4.7429880446886665,4.612406431695781,4.085720342478156,4.866642783587686,3.2,4.139032570911497
1902F4001_014,4.672605425644393,4.4669969642167136,4.800127394340438,4.989855926209197,3.2,4.6640619922279605
1902F4001_015,4.371175998934399,3.9421970629404597,4.4555136487205615,3.9275587828388576,4.0,3.892673718999737
1902F4001_016,5.303084508794338,4.752258760168135,4.8635198419088885,5.3460830709043385,5.0,5.068666174383038
1902F4001_017,5.467096855069926,4.780239901451869,5.102263133190993,5.431799584502572,5.4,5.207124768731506
1902F4001_018,4.8597712024303,4.801111310146007,4.888509625803026,5.22936779272529,5.8,4.836953275194047
1902F4001_019,5.440719320447623,4.9491701700610236,5.1666327569129455,5.707271881203207,6.2,5.342505606165436
1902F4001_020,4.655238185786528,4.18675642630707,4.48095990163541,4.7901857762164815,4.8,4.6072720711572765
1902F4001_021,4.698118410397679,4.718040878693492,4.48095990163541,4.9967099449377885,5.2,4.981624820797607
