name,d,v,t,f,label
1902F2001_001,4.37691799443382,3.9873013589870565,4.05328703936315,3.9436088635467326,4.0
1902F2001_002,4.337556386447058,3.892698680859266,4.05328703936315,4.329100780346447,4.0
1902F2001_003,5.069000511147425,4.714591736751141,4.85629990399317,5.385382960586873,5.2
1902F2001_004,4.905229782331773,4.742927503014821,4.05328703936315,4.889294922176149,5.6
1902F2001_005,4.554696530982584,4.545442025409061,4.82786097067468,4.455940839985046,5.4
1902F2001_006,5.300696002968921,4.902769636298361,4.966419986630467,4.735921794777237,5.2
1902F2001_007,4.111726521759493,3.7984361892675067,4.05328703936315,4.305879824217976,4.4
1902F2001_008,4.325533603824323,4.541234857684059,4.05328703936315,3.66126772635726,4.8
1902F2001_009,4.146177316234478,3.855394324388466,4.05328703936315,4.487191082928973,4.2
1902F2001_010,4.074857626152114,3.843218507542857,4.05328703936315,4.927796813398598,4.0
1902F2001_011,5.219124810865042,4.242042801260318,4.855596255781741,4.594153611269651,5.0
1902F2001_012,5.243565246623269,4.9997091076687195,4.740310070253973,4.49256730592367,5.6
1902F2001_013,4.674555069580149,3.9800961773632837,4.05328703936315,4.135012392380933,4.6
1902F2001_014,5.17325593287033,3.8969950241541724,4.739169014494571,5.166885918544195,4.4
1902F2001_015,4.8993100027393135,4.6337691400242615,4.05328703936315,5.0841320052767704,5.8
1902F2001_016,5.234360926747155,4.859348001429744,4.958346541461965,5.412001800154099,4.8
1902F2001_017,4.83269950946805,4.607483019458875,4.740310070253973,4.611370834224853,4.8
1902F2001_018,4.128061402038421,3.812533000424689,4.05328703936315,5.155614485269375,4.0
1902F2001_019,4.242833221604006,4.1666695415373995,4.05328703936315,4.416976686765741,4.0
1902F2001_020,4.213023533990158,3.763883557454489,4.05328703936315,4.371738451329339,4.0
1902F2001_021,5.141009641104137,4.184569273018791,4.05328703936315,5.105995495794,5.0
1902F2001_022,4.629018779713316,4.022246047849019,4.05328703936315,5.337928140329218,6.0
