name,d,v,t,f,label
1902F2001_013,4.551480397751762,4.647478283280281,4.481553119291739,4.712853859795375,4.6
1902F2001_026,5.385761458007902,5.448805240607035,4.966462895807287,4.97470791973415,6.4
1902F2001_030,4.545526322375475,4.142864286514132,4.481553119291739,4.358711555249488,4.6
1902F2001_050,4.485434103417305,3.922689982586017,4.481553119291739,4.138102525323213,4.2
1902F2001_053,4.311726210568173,4.29311875600394,4.481553119291739,3.99680421258053,3.8
1902F2001_063,4.7347395083551405,4.559395832499912,4.481553119291739,4.099147673509499,3.6
1902F2001_067,4.266513632706399,4.082195050879936,4.481553119291739,4.259557447514404,3.8
1902F2001_086,4.271983896500038,4.025838600374711,4.481553119291739,4.004618638392525,4.2
1902F2001_097,4.261496189582027,3.9942923269711934,4.481553119291739,4.372860154835743,4.4
1902F2001_101,4.287963772628074,4.034006620764908,4.481553119291739,4.350460815048825,3.8
1902F2001_107,4.279177965157702,4.255418601424305,4.481553119291739,4.365958118644498,3.4
1902F2002_013,4.172742827609181,4.379549033129435,4.354798289385899,4.2618317637917205,4.0
1902F2002_030,5.09334377149168,4.072264798218732,5.119930229391892,5.056853461664743,4.4
1902F2002_034,4.710790406080741,5.453661209640402,4.354798289385899,4.417194510029581,4.4
1902F2002_039,4.7326680513941275,3.9835941179389867,4.354798289385899,4.612843456600574,4.4
1902F2002_048,4.172742827609181,4.260331961246047,4.354798289385899,4.685562546371631,4.6
1902F2002_057,4.704291466770043,4.2306496468966355,4.354798289385899,4.703436216234704,4.2
1902F2002_059,4.705576236855015,4.10584634997388,4.354798289385899,4.774192191050501,4.8
1902F2002_077,5.25181852263132,4.814575196160172,5.038283480209194,4.749599407996242,5.0
1902F2002_087,4.75916686557289,4.2289115606542,4.354798289385899,4.5785753756906695,4.8
1902F2002_090,4.707322578168523,3.9971162497143014,4.354798289385899,4.278862077197362,4.6
1902F2002_092,4.750964620995081,4.070065885276894,4.354798289385899,4.690116857835749,4.8
1902F2002_101,4.6464425663414675,5.2377326430615,4.354798289385899,4.291586755076178,4.0
1902F3001_013,4.7919264441264335,5.446762563192937,4.1083027318703005,4.572202216174838,3.8
1902F3001_054,4.717886690576842,3.9101219601174346,4.1083027318703005,4.27667944485721,2.8
1902F3002_014,4.559239501440869,4.682400842093795,4.56342691544158,4.885382443601993,5.0
1902F3002_017,4.723694987737818,4.066206847087709,4.56342691544158,4.747664807163564,3.8
1902F3002_019,4.7198190471361645,3.991407637237805,4.56342691544158,4.4754298007960145,4.4
1902F3002_035,4.766749459808313,4.106378018056325,4.56342691544158,4.584999612464276,4.2
1902F3002_042,4.218997972951061,4.038532218124543,4.56342691544158,4.324394575424554,4.0
1902F3002_061,5.342291714028727,5.331675872929465,5.11933825948312,4.864699221290195,4.2
1902F3002_066,4.140197866729476,4.007224124921221,4.56342691544158,4.684048003650663,4.4
1902F3002_076,5.051503056780835,5.429196208883069,5.204951476364018,5.117783795103339,4.8
1902F3002_078,4.6218802487902675,5.112945875713166,4.56342691544158,4.705555203843516,4.8
1902F4004_039,4.998854514306418,5.389821930942858,5.399511992679791,4.995494252303859,5.0
1902F4004_064,5.159622840308016,5.310930050334747,5.12173500331714,4.780697599028891,6.4
1902F4004_066,4.661573788690436,5.10313819330498,5.093498932266037,5.310782522921182,5.0
1902F4004_067,4.666713763619197,3.8984699816522284,4.3598393858863504,4.278620950239579,4.2
1902F4004_070,4.792178713694879,5.123193896647882,5.180864777849248,4.500713297516654,4.2
1902F4004_073,4.810302223330325,4.472687425307544,5.0846565031183335,4.521057317523309,5.2
1902F4005_040,5.081899847468194,5.500573960118408,4.949369958966242,4.994094390024844,5.0
1902F4005_068,5.355899758745582,5.157737287064866,5.023985869896565,4.483336231115797,5.6
1902F4005_070,4.11911054310618,4.11105909896321,4.6259871128489385,4.915343855852464,5.0
1902F4005_073,4.1107568699236,3.944472227364,4.6259871128489385,4.413409101322306,4.6
1902F4005_076,4.11911054310618,3.891286267185505,4.6259871128489385,4.779603909003719,4.4
1902F4005_083,4.6956368897978855,5.391933454504724,4.6259871128489385,4.975582647801525,5.2
1902F4005_085,4.605750930243143,4.204111968978704,4.6259871128489385,4.606888683932207,4.8
1902F4005_089,4.602657806961492,4.032946593040893,4.6259871128489385,4.658786994756369,4.2
1902F4006_016,4.742516873110161,5.338938713028968,4.1083027318703005,5.368458853206004,5.0
1902F4006_031,4.16344870258403,4.065584599427642,4.1083027318703005,5.294108190513959,4.4
1902F4006_040,4.173438985019544,4.308290528889658,4.1083027318703005,5.259830363270133,3.8
1902F4006_052,4.735912978109854,4.256894471416314,4.1083027318703005,4.237732708700136,4.2
1902F4006_067,4.1816244636269415,4.126165955947689,4.1083027318703005,4.392995483553985,4.2
1902F4006_095,4.737840690047609,5.443882176725067,4.1083027318703005,4.201413782780361,4.8
1902F4006_097,4.7559107518401404,4.228440620247064,4.1083027318703005,4.611716755971995,4.4
1902F4006_115,4.166686511156002,4.021092900970998,4.1083027318703005,4.02358040845233,3.8
1902F4007_012,4.740078654221799,4.083009357414372,4.1083027318703005,4.770028961841359,4.8
1902F4007_016,4.740654807690447,4.088646560459001,4.1083027318703005,4.423436753957349,4.0
1902F4007_021,4.149106336386203,4.409660992572297,4.1083027318703005,4.81935870385381,4.4
1902F4007_023,4.686619187227492,4.687823228833758,4.1083027318703005,5.075634640313683,5.0
1902F4007_024,4.610785689703382,5.224883383226109,4.1083027318703005,5.112279675553948,4.8
1902F4007_037,4.150710545345993,3.9569343681267006,4.1083027318703005,4.654670395389527,4.2
1902F4007_050,4.708187650546508,5.343789389114365,4.1083027318703005,5.133426318631196,5.6
1902F4007_054,4.692153376344343,5.406637138486662,4.1083027318703005,5.1394610506683645,5.2
1902F4007_056,4.736032675020625,4.3089567001342,4.1083027318703005,4.0088131677749885,4.2
1902F4007_058,4.150710545345993,3.907551029183608,4.1083027318703005,4.516764438570459,4.2
1902F4007_061,4.709619250733254,4.883985168252926,4.1083027318703005,3.9457769889424945,4.4
1902F4008_015,4.121614000333346,4.537515067020473,4.1083027318703005,4.183918944285515,4.6
1902F4008_028,4.113282937246196,4.2516341038070316,4.1083027318703005,4.9500065966058,4.4
1902F4008_059,4.781035423751357,5.057241639074612,4.1083027318703005,4.1006928001538725,4.2
1902F4008_062,4.782136429561108,4.794295721338618,4.1083027318703005,4.19703900675627,4.0
1902F4008_064,4.782036371644462,4.361366926818934,4.1083027318703005,4.076262660956107,4.2
1902F4008_075,4.177431925121626,5.1167084517014825,4.1083027318703005,5.425415891936299,4.2
1902F4009_019,4.758325093501104,4.874776074798937,4.1083027318703005,4.356374183031593,4.2
1902F4009_061,4.7565476671078395,5.109225151715879,4.1083027318703005,4.922619672318652,4.2
1902F4009_065,4.739065858329332,4.696608226217039,4.1083027318703005,4.902036041824998,4.4
1902F4009_089,4.7565476671078395,4.916674431962282,4.1083027318703005,4.557523112562227,4.2
1902F4009_094,4.752702080801522,4.375285744426284,4.1083027318703005,4.368002105029602,3.8
1902F4010_016,4.578702508978957,5.045072720538426,4.716161262919655,4.567367171159263,5.2
1902F4010_025,5.172728398000577,5.2838627693763,5.148486532623796,5.116563067837065,5.6
1902F4010_029,4.867162580224465,4.326000789197065,4.720185518874548,5.045557697040342,5.0
1902F4010_030,4.726499423182441,4.642513027908473,4.716161262919655,4.7646536646940465,4.8
1902F4010_045,4.732806180810018,4.610038930222846,4.410036459221039,4.7422118982482555,5.2
1902F4010_047,4.581911990899476,4.204354287335785,4.315227922355876,4.229688134138317,4.4
1902F4010_064,4.993448498425613,5.212884717029885,4.898384787160428,4.638172676064009,5.0
1902F4010_091,4.143123285259391,4.032819163643163,4.3180034851596485,4.425601156725542,3.4
1902F4011_010,4.56910233560871,5.364807700983701,4.347559844415482,4.826382411476527,4.8
1902F4011_030,4.638795888927242,4.440181227899157,4.347559844415482,4.870374133322039,4.6
1902F4011_044,4.150027160737384,4.215300693369602,4.347559844415482,4.553141418679519,5.0
1902F4011_046,4.739197632896096,4.45570983697978,4.347559844415482,5.251686005285923,4.8
1902F4011_052,4.705980620482277,4.269463583946304,4.347559844415482,5.443778381833589,4.0
1902F4011_073,4.13918153983499,3.897333104513943,4.347559844415482,4.541882684461498,5.2
1902F4011_075,5.3281920905044124,5.430020455330137,5.319312048688934,4.239354135449352,4.6
1902F6001_020,4.75053915649194,4.005838938300818,4.235531003995882,4.536948940439998,4.0
1902F6001_023,4.7481883665562945,4.202281168565767,4.235531003995882,4.973541715787413,3.8
1902F6001_029,4.154642571834792,4.5128827705075265,4.235531003995882,4.135298152423683,4.0
1902F6001_031,5.336684748473762,5.17548248392124,5.47642692275776,4.740080835376506,3.6
1902F6001_035,4.738354433544908,5.405981630583243,4.235531003995882,4.79585009915178,5.2
1902F6001_065,4.744244658247401,3.9864511081261798,4.235531003995882,4.178308796264525,3.8
1902F6001_078,4.723836065593356,3.9757763270207103,4.235531003995882,4.41596045001149,3.8
1902F6002_012,4.406125580891839,4.040420355157633,4.368375615001115,5.091092981795168,5.2
1902F6002_028,4.216552746531601,3.9871475050290845,4.368375615001115,4.755937585744492,4.8
1902F6002_031,4.0604650484237474,4.112470722931196,4.368375615001115,4.951225855448962,4.2
1902F6002_036,4.598285307690401,4.465357089043323,4.368375615001115,4.110217614260749,5.0
1902F6002_042,5.319289161064213,5.233096125341298,5.063851228564196,5.20447592186494,5.4
1902F6002_044,5.0439059738034135,4.762879706698077,5.2476262181548465,4.9524019937613595,6.0
1902F6002_054,4.518339259972883,4.564678087843768,4.368375615001115,4.993919581532359,4.6
1902F6002_060,4.463593029296118,4.376200034581984,4.368375615001115,4.903235056834745,5.0
1902F6002_070,4.1294414294177875,4.6124283233989,4.368375615001115,5.021234651654536,5.0
1902F6002_079,4.464920083540567,5.005713428740432,4.368375615001115,4.978715785475017,5.2
1902F7001_044,4.737167300943782,4.174602564640995,4.112726505945626,3.957655705586581,5.4
1902F7002_020,4.482158978213114,5.263367691412852,4.396837814073672,4.91334756960552,5.2
1902F7002_027,4.922250677434665,4.73359308674088,5.122703632363661,4.676879246434104,5.2
1902F7002_031,4.561524741257457,4.765596177859966,4.396837814073672,5.1078675774951865,5.0
1902F7002_035,4.39108039405433,4.171722094143018,4.396837814073672,4.510280017212585,4.4
1902F7002_043,4.545776146589709,4.498229877953445,4.396837814073672,5.217937951207617,5.2
1902F7002_044,4.848143559527276,4.534049005793179,4.983107202330194,5.033570207016271,5.4
1902F7002_059,5.32741644431989,4.708276745803021,5.122703632363661,4.32830964395356,5.0
1902F7002_060,4.240501686298006,4.067288519152189,4.396837814073672,4.488469290205627,5.0
1902F7002_066,4.13326634459178,3.9934349626179753,4.396837814073672,4.5114414354769234,3.8
1902F7002_067,5.335555629935976,4.688913060190316,5.122703632363661,4.501606956378583,4.6
1902F7002_073,4.573221486202305,5.289274080791333,4.396837814073672,4.564447962872001,5.0
1902F7002_075,4.351794036006012,4.945485822639105,4.396837814073672,4.590307467156941,5.0
1902F7002_078,4.563181903564989,4.837260330693407,4.396837814073672,4.565850021553424,5.0
1902F7003_019,4.970838577813576,5.257403699411255,5.557461929007375,4.925924690201222,6.0
1902F7003_031,4.680121064970691,4.083006564419014,4.840681143905178,4.972882816929093,5.6
1902F7003_043,4.850440802746598,4.075501041042596,4.286205737516873,4.304128736650525,4.4
1902F7003_048,4.206256809875633,4.016923775055112,4.286205737516873,4.148527794997314,4.0
1902F7003_051,4.206256809875633,3.969618088256517,4.286205737516873,3.9493943429087746,3.6
1902F7003_057,5.208917960627763,5.247297507446471,5.5988137523936,4.770051730986723,6.2
1902F7003_059,4.585101582999046,4.26424013441381,4.840681143905178,4.475198890095364,5.0
1902M2001_019,4.483919597789982,5.418736543452792,4.38376795332335,4.382267250050961,5.6
1902M2001_030,4.067536599750616,4.580741892537475,4.38376795332335,4.870678297525341,6.0
1902M2001_045,5.0044016178899895,5.2479803282144015,5.228255246013292,4.645391246391423,4.4
1902M2001_046,5.193054265779349,5.00161917251293,5.281386421983625,4.701382284342006,4.8
1902M2001_071,4.113120115852942,3.910638414964899,4.38376795332335,4.602830852246177,4.2
1902M2001_076,4.581695416833201,4.055142888321349,4.38376795332335,5.02672961050287,5.6
1902M2001_079,4.643001087567388,5.171087183380023,4.38376795332335,4.113680804145648,5.2
1902M3001_028,4.786050896750892,4.70167806218187,4.108302731870302,4.358356717169508,3.8
1902M3001_051,4.744776822407008,4.6791893541043095,4.108302731870302,4.286768000023261,3.6
1902M3001_070,4.718886236662891,4.784987013307781,4.108302731870302,4.032977865766172,4.0
1902M4003_017,4.761069738386291,5.315300304935341,4.1083027318703005,5.330648685724103,5.6
1902M4003_075,4.17017169704827,3.9840668240379773,4.1083027318703005,3.9727204049508886,4.0
1902M5001_014,4.747604469684837,3.8981156096827627,4.3360385059481015,4.445991422600716,4.8
1902M5001_023,4.68782282486587,5.462430565879432,5.226859830722587,4.731478115711079,5.4
1902M5002_019,5.312743967077747,5.43595606019719,5.083408292865675,4.871246871360599,4.6
1902M5002_030,4.739265894941485,4.198179678832699,4.978147506232537,4.682157443083229,3.8
1902M5002_035,4.595074077586036,5.366202304623118,5.3464365139395325,4.821929599416167,5.6
1902M5002_038,4.185085012140136,3.972569633240159,4.504131954522972,5.032082088459415,4.6
1902M5002_059,4.351027479482345,4.045890492989798,4.504131954522972,4.2058128971719375,4.2
1902M5002_063,4.468767488868939,3.9598960536478365,4.504131954522972,4.111484943596778,3.6
1902M5002_079,5.109991833411304,5.268444022881944,5.54695887553787,4.343673408731255,4.2
1902M5002_081,4.9980658993388465,5.3466446107585766,5.141323388455827,4.360772060088018,4.6
1902M5002_087,4.461990976025902,4.095756953055585,4.504131954522972,4.391360923903782,4.4
1902M5002_090,4.758332762596731,4.022568672388798,4.504131954522972,4.149303241754688,4.2
1902M5002_095,4.221463579099729,3.9698029210721604,4.504131954522972,4.15159923844333,3.8
1902M5003_010,4.497415452964079,5.357086403649655,5.1367207389188545,4.84440299854777,4.4
1902M5003_014,4.451019655472189,4.821517927099758,5.054722916302129,4.336824987350511,3.8
1902M5003_051,4.3608238170158105,5.139938178603141,5.066261327277943,4.523096496397459,5.0
1902M5003_065,5.5045527889155315,5.367654767230858,5.60662663855866,4.883518111992259,5.0
1902M5003_080,4.1542733903563205,3.8978847296107855,4.422733580412156,4.217764296087776,4.4
1902M7001_019,4.622736584442903,3.9545643700278834,4.256216103783309,4.401330687487339,4.0
1902M7001_049,4.290751385330135,4.141592193594626,4.256216103783309,4.361713655502506,4.0
1902M7001_056,5.326097196298665,5.418619860490801,5.407257896576688,4.915914326825069,5.2
1902M7001_057,4.748412563458445,4.641866067631928,4.256216103783309,4.556188334942204,3.8
1902M7001_063,4.297368732881866,4.107530499450939,4.256216103783309,4.460445912345829,4.2
1902M7001_065,4.309325799632107,4.218151236340214,4.256216103783309,4.172888971632651,4.0
1902M7001_071,4.30151610754546,4.018467878507671,4.256216103783309,4.327150343184328,3.8
1902M7002_039,4.726774344043061,3.997548322639453,4.1083027318703005,4.519333777731372,4.6
1902M7002_041,4.185330558941234,4.0750765790911805,4.1083027318703005,4.694771604202512,4.0
1902M7002_058,4.190439697283099,4.02696632205343,4.1083027318703005,4.544140573654003,4.0
1902M7002_061,4.749598383474139,5.477122336665626,4.1083027318703005,4.511201068337999,4.8
1902M7002_073,4.7179258936047646,4.3115637883995985,4.1083027318703005,4.692974214071384,4.6
