name,d,v,t,f,label
1902F2001_006,5.143241997621926,4.775654389386148,4.957773584295957,4.822591636418277,5.2
1902F2001_011,5.050089331402512,4.886306017507319,4.99468086104686,4.7669103185350155,5.0
1902F2001_012,4.946406228257819,4.775699566540221,4.885795430455222,4.716814984109326,5.6
1902F2001_014,5.030492280672599,4.701773727570651,4.884577013839831,5.111138441678162,4.4
1902F2001_016,5.080715330751464,4.802826015192169,4.958397807990316,5.144905689905499,4.8
1902F2001_021,4.91260515466968,4.783979450233753,4.699638556996058,4.987292649988122,5.0
1902F2001_024,5.0717392565762385,4.251485218300997,4.699638556996058,5.1635101056739385,6.4
1902F2001_027,5.323178105308785,4.802548357871961,5.238239306174831,5.013995765348598,5.8
1902F2001_034,5.617741130784788,5.344386632207725,5.2982385609877465,5.174933968029437,5.4
1902F2001_043,4.908845991149782,4.455764824962787,4.928606627910431,4.580609196801349,4.8
1902F2001_046,4.960708012070336,4.224689563287714,4.699638556996058,4.838738564908115,5.2
1902F2001_048,5.010936760063096,4.713904177275031,4.699638556996058,5.024117968290872,6.0
1902F2001_049,6.197039464741017,5.78278453587613,6.0268134322306794,5.369746658906037,6.2
1902F2001_052,5.815334355609645,5.535567172162559,5.623140943662917,5.216291075135414,5.2
1902F2001_058,4.9465755286971325,4.7349593046261615,4.919269702607556,4.799455263325938,4.8
1902F2001_060,5.285829931077066,5.099081563769823,5.200922005797967,5.148945945046407,5.8
1902F2001_061,4.583522992482521,3.9138351606116557,5.017769142510687,4.839852428516598,3.6
1902F2001_065,5.040339134667166,4.158794017372284,5.0450791119398275,4.759561140642768,4.4
1902F2001_066,5.37204080625785,4.915953316041251,5.392479100828899,5.094321578375922,4.6
1902F2001_074,5.33573026942472,5.509523569908742,5.2845927799522,4.970503949827802,5.0
1902F2001_085,5.513099402551488,5.48253701396669,5.392893897630261,5.243035341512725,5.4
1902F2001_096,5.285751149783225,5.042009663067622,5.165010604337089,5.072268017357911,6.0
1902F2001_099,5.172951354429198,4.963672148251987,4.992852982319846,4.997745440382935,5.8
1902F2001_100,5.740760261929242,5.687374847026732,5.648598727470629,5.368239983972863,5.8
1902F2001_109,4.753468090522253,4.2935348772689474,4.973609993035373,4.571053119479085,4.0
1902F2001_110,4.962523537701125,4.630858330197051,4.991408468334825,4.915433560152122,3.2
1902F2002_008,5.173203309589017,4.996549264222983,5.040278230818835,4.845934917302337,5.0
1902F2002_009,4.954171077642739,4.522704487765343,5.2123914752930265,4.655704500446777,4.8
1902F2002_010,4.934154154850308,4.677688943372417,4.91544895509539,4.910522883253264,5.4
1902F2002_011,5.534324049015371,5.610187873744762,5.464895493195939,5.269097870651467,5.4
1902F2002_014,5.618293455828053,5.256737402192789,5.908792508120622,4.790713345676763,6.0
1902F2002_016,4.920625374829855,4.022092037310233,5.19115269114365,4.765447407910051,5.0
1902F2002_018,4.93618308104032,5.056979570767872,4.893307444141539,4.806702517002725,4.6
1902F2002_023,5.948630110365138,5.728933114913978,6.169222054596954,5.230413101679992,5.2
1902F2002_025,5.084176533568028,5.112004674466769,5.1843764341444665,5.043481091074813,5.2
1902F2002_028,5.137640023984826,5.024725782142344,5.1992236826584115,5.261194753037537,5.2
1902F2002_029,5.552570050038261,5.373932997692223,5.559298735208059,5.318383889933374,5.6
1902F2002_033,5.741916239014953,5.002422657267297,5.213888086764932,5.4654648555537975,5.4
1902F2002_036,5.397463856227492,5.640226376622015,5.396501739255144,5.048029086684713,5.6
1902F2002_037,5.863040542790965,5.4773314495016665,5.591220775126492,5.200673300041945,5.2
1902F2002_038,5.457379653002272,4.869236343917263,5.3210735042469715,5.159795136063369,5.0
1902F2002_047,6.039583857690501,5.0757892820459976,5.7382226747172975,5.391099476022091,5.4
1902F2002_051,5.07469328910318,5.544314222672118,5.2940941757063475,4.7899523679509945,5.0
1902F2002_053,5.591370544850424,5.518114101470978,5.886234166108501,5.206234487747009,6.2
1902F2002_069,5.3766953714900385,4.843867571283413,5.053326070967505,5.3390257261264145,4.8
1902F2002_076,5.420701913646897,4.757524731074484,5.1968025965386735,5.095140389159715,5.2
1902F2002_078,4.90718067065486,4.575688380865713,4.927639575496719,5.132708011806666,5.4
1902F2002_083,5.993545307574767,5.496058369152556,5.8870599935471235,5.42401070783778,5.6
1902F2002_086,6.080202166861009,5.201110790277029,6.147141165559935,5.219208417547985,6.2
1902F2002_089,5.553440109412743,5.585248398156798,5.613733694063985,4.992447451463079,5.8
1902F2002_094,4.362250759854348,4.14900038517184,5.007251460904325,4.897805357743088,4.8
1902F2002_095,5.1967088333278175,4.159112658534785,5.123072191676552,5.430666668004792,5.0
1902F3001_008,5.298443639238733,4.75516294728227,5.376991394586148,5.0258381455603764,5.4
1902F3001_009,5.307658748207218,4.946519102661043,5.397326358891351,5.287248693296489,5.6
