name,d,v,t,f,label
1902F2001_003,5.113108356427587,5.011922091334043,4.698170828357002,5.200067524795154,5.2
1902F2001_004,4.976764221462444,5.116374677335298,4.3876770435242065,4.8881005931883434,5.6
1902F2001_015,4.889994130946581,4.413359841499771,4.3876770435242065,4.890780685732977,5.8
1902F2001_017,4.883256390848415,4.131185551455305,4.481019754098238,4.718592019826793,4.8
1902F2001_022,4.672378688661766,4.133720556806397,4.3876770435242065,5.334439727460888,6.0
1902F2001_023,4.997792533711432,3.954519906363203,4.3876770435242065,4.737325214920596,5.6
1902F2001_025,5.122098116621669,4.9761109618875805,4.6279962677374265,5.007073229369497,5.6
1902F2001_029,4.941375052401125,4.873932756010347,4.3876770435242065,4.940647033944221,5.6
1902F2001_031,4.617616795460339,3.7573931487465657,4.3876770435242065,4.824498813720415,5.0
1902F2001_033,4.963519467843515,4.552967227063131,4.3876770435242065,5.072280203288317,5.4
1902F2001_036,4.936937782323879,4.787138991502263,4.3876770435242065,5.010942853799246,3.2
1902F2001_038,4.930453689262935,4.514766334869843,4.3876770435242065,5.032849617174023,5.8
1902F2001_040,5.092426340184997,4.632181386514313,4.496053436161889,4.495343262112424,4.8
1902F2001_045,5.267173559774221,5.052946170716955,4.572245238236856,5.103276967056448,5.6
1902F2001_047,5.389867411302361,5.414158887244053,5.190884500360196,5.217948281332728,6.2
1902F2001_051,4.967566648480643,4.137915901899814,4.847017869265235,4.789481298759762,5.0
1902F2001_054,5.1912971156026835,5.369642193441685,4.767640589288826,5.296844895521941,4.8
1902F2001_059,5.053337055567762,5.189799267493328,4.480990532646573,5.156873926960491,5.4
1902F2001_064,4.712568224263468,4.0757596383762165,4.3876770435242065,4.913780706008648,4.4
1902F2001_068,4.742326256779131,4.597173107618593,3.543027095073702,4.802609795517587,2.8
1902F2001_071,5.048802121308479,5.40024396205276,5.020164932931306,4.989652641342901,4.8
1902F2001_072,5.7381025967499895,5.442277271154518,5.977546501996734,5.522971670423806,5.2
1902F2001_076,4.715237689142671,4.346628668593764,4.3876770435242065,4.823888164350233,3.6
1902F2001_078,4.793731093576045,4.5930115395583675,4.3876770435242065,4.587920718086895,3.2
1902F2001_079,4.98922515203801,4.4141258148030476,4.741089861496588,4.90768114916868,3.6
1902F2001_081,5.111481802572171,4.758503810074265,4.5115556785884605,4.7346478809168255,3.0
1902F2001_084,4.9648407198048945,4.782909898604442,4.934901205307127,5.0723602535967185,5.0
1902F2001_087,5.960375681702068,5.567028694387859,5.87653884311991,5.475372677410877,6.0
1902F2001_089,5.696446555737212,5.315935681868019,5.968296232172357,4.962164641751763,5.6
1902F2001_091,5.645590089937552,5.4025062071120225,4.326282114913868,4.9844805768321105,4.6
1902F2001_095,4.843428329936381,4.4457047460802634,4.3876770435242065,4.976242229562977,5.4
1902F2001_098,4.938832765030966,5.299154602827494,4.3876770435242065,4.842256240676266,6.2
1902F2001_102,4.5970125792148195,3.9655576864235673,4.3876770435242065,4.775933813129804,4.6
1902F2001_104,4.92236492636916,3.9177349330432896,3.543027095073702,4.978479697975968,3.2
1902F2002_003,5.491313061254378,5.067094691728241,5.548086553921503,5.130782492851798,4.6
1902F2002_004,5.055393643776775,4.747818616407935,5.072772443145867,4.685394639129705,4.4
1902F2002_012,5.468484735500867,5.676018038340699,5.071517759863461,4.839022287994382,5.2
1902F2002_015,5.326174285929921,5.348837831848033,3.933055590722847,4.689297171148349,5.2
1902F2002_017,4.809748230893376,4.8773078775173655,4.725358239912108,4.482051507768,5.6
1902F2002_027,4.820178442855266,4.70426371777329,4.725358239912108,4.984108416659648,5.0
1902F2002_032,5.522155468265368,4.572781927294921,5.681750025505144,5.179907772063275,5.6
1902F2002_043,5.080535128238271,4.075609218032087,3.6783753976394413,4.971458434722903,3.8
1902F2002_044,5.692097053741874,4.758663072846054,4.40463457392714,5.395700229602573,4.0
1902F2002_045,5.526381198322029,5.333732950122874,4.744358366866048,5.313212870087292,5.6
1902F2002_052,4.907778986372603,4.570074571616163,5.208306481227406,5.171074806664572,5.6
1902F2002_055,5.0513726272317285,4.6741812945461625,5.6772327741643505,5.396168861962762,5.6
1902F2002_056,4.965886951069295,4.97231532302105,5.093825739508438,5.261409879768735,5.2
1902F2002_058,4.800332349517998,4.246680995432201,4.725358239912108,4.93895830537056,5.0
1902F2002_060,5.060034347814365,4.713666545680413,4.38059496644625,4.952303698155909,3.0
1902F2002_062,4.817227572575233,4.85486628989918,4.725358239912108,5.101493839253853,5.8
1902F2002_068,4.934575147529168,5.072663078646603,5.077284826920844,5.015828374239247,5.0
1902F2002_071,4.988205535661082,4.8020395212120635,3.803061299324149,4.375756027922739,3.6
1902F2002_073,4.802244951283404,4.738153289224333,4.725358239912108,4.840533553113478,3.4
1902F2002_075,4.920619018776028,4.822623882348752,5.004906206370705,4.910037529326736,5.0
1902F2002_082,4.900125777270283,4.97139374453493,4.678015272378354,4.761499127761342,5.2
1902F2002_085,5.22663195308248,5.321952264775489,5.517006757484904,5.262529501118351,5.4
1902F2002_088,5.009287219396004,5.161783632585686,4.746512750236338,4.6189526746458816,5.6
1902F2002_091,5.368855662346338,4.754642841635656,5.6615865279772235,4.972077148541086,5.8
1902F2002_097,4.785163752594568,4.315304569650055,4.725358239912108,5.138029200654453,3.2
1902F2002_098,4.873099942477121,4.161054706545838,4.074436683490898,5.084017230575871,2.8
1902F3001_003,5.31862781185076,4.646661997268878,5.400280069688556,4.9995680824359905,5.4
1902F3001_004,5.344576315240221,4.781690405641994,5.1691203937490355,5.422647939314734,5.4
1902F3001_012,5.549970672886985,5.379789880316382,5.885822628636619,5.154673230352376,6.0
1902F3001_020,5.431547823895601,4.305517872918822,5.043416794230847,4.697722071764767,3.2
1902F3001_021,4.793467500779099,4.473499037076176,4.7883170584933135,4.721139739985498,3.4
1902F3001_023,5.000541972106877,5.160469028796173,4.09569102174828,5.502636769596535,3.2
1902F3001_027,4.891680462141343,4.6047081499774976,4.635152632091907,5.087008796642447,5.0
1902F3001_029,5.296747325477404,5.065520754363755,5.5797077818613765,5.17225290306664,5.4
1902F3001_031,5.106065807760973,5.334958360154432,5.577488615960308,5.014308967116715,3.8
1902F3001_033,5.962994129275192,4.9411202771058695,5.112489353669662,5.110729141749538,4.8
1902F3001_036,5.406848337299245,5.494479004952986,5.786873170982462,5.138649350097629,5.4
1902F3001_037,5.755574813491874,5.113313719304018,5.6579014703814225,4.435496473823553,5.8
1902F3001_039,5.857014052440477,5.325115679571225,5.783499381997346,5.248302086538455,4.2
1902F3001_041,5.048145692350703,4.777990765877858,4.890240562920236,4.730067145363282,3.6
1902F3001_042,4.826845668189616,4.094936084748685,4.264727438042612,4.454889477367654,3.4
1902F3001_043,4.860815300046606,4.813208605826992,4.635152632091907,4.973305087883287,2.8
1902F3001_044,5.247331186157879,5.12613868607782,5.242209201105369,5.287255077409419,5.0
1902F3001_050,5.147032687067402,4.706274576923172,4.803287161335972,4.408300812020904,3.6
1902F3001_053,5.417393285743131,4.581021602246021,5.96949306977843,4.596160460837854,4.0
1902F3001_055,5.299760768338688,4.728951542113302,3.7214845007266626,4.987454078483188,4.6
1902F3001_056,5.090510963615968,4.15596396179203,5.167467498883332,4.95055237797295,4.6
1902F3002_003,5.288295647047337,5.501178484045514,5.2057885076907695,5.126940805078213,4.8
1902F3002_004,5.28355221523286,5.432129897592826,5.013120847507786,4.993394779886423,5.2
1902F3002_011,5.019314560836462,5.422024023791137,5.017795765791821,4.899943667126147,6.0
1902F3002_012,4.992183259114537,4.508090661456443,5.843486372665755,4.90656558227786,6.0
1902F3002_015,5.1599760954926595,5.184436777951787,3.5934882425319166,4.6804617698369775,5.2
1902F3002_027,4.688063356413795,4.134474583322191,4.772663889898137,4.302606808496175,4.8
1902F3002_028,5.695336631931242,4.9747652028532166,4.883709797333613,4.909948564384322,5.0
1902F3002_032,4.695546758377039,4.208492244550759,4.943333346267986,4.358345256755224,5.2
1902F3002_040,5.317143207634133,5.102546934869453,6.402674439219229,4.808930609153975,5.4
1902F3002_044,5.08297789425325,4.711040969020367,3.4919976976977916,5.192275338393839,4.4
1902F3002_048,5.08601871299452,5.257692301028272,5.531399652107959,4.8389014060317015,4.8
1902F3002_050,5.1635891320725875,5.012383267218081,4.536087957813447,4.675743127281666,4.8
1902F3002_057,5.430514041179077,4.589683165770392,4.243424571328867,5.03285629898695,5.4
1902F3002_060,5.75199561521103,4.6309432778757955,5.338025788460268,4.649581736942891,5.6
1902F3002_063,4.883802890544295,4.4829707368144245,3.6562410412090123,4.499711975774524,3.8
1902F3002_064,5.1571987788428375,3.79591121470514,4.853628066068496,4.5318588467676575,4.4
1902F3002_065,5.159875484877706,5.3921204332984765,5.941070396961182,4.247440439088547,5.6
1902F3002_067,5.273476388415738,4.864284471388135,5.361473968827283,4.629032876952039,5.0
1902F3002_071,4.96504163454482,4.200510406571311,4.908995023820713,5.26798094220223,3.2
1902F3002_075,5.5582893974498955,4.591549357423363,5.786930806113136,4.711149665835455,4.4
1902F3002_077,5.640511978167246,5.196825867939307,5.821490923755148,4.597015843002927,5.8
1902F4004_003,4.7122758285066535,4.45281943056807,4.94864277346338,5.246340068001039,5.2
1902F4004_004,4.7617280135788995,4.10833069229987,4.666794671772588,5.344113906081667,5.2
1902F4004_011,4.871166739269366,4.925266590690161,4.992021964574351,5.124897838296421,4.6
1902F4004_013,4.955030562084818,5.193818806358442,5.0092596301748005,4.91230416071907,5.4
1902F4004_025,5.145296473171196,5.063162531098067,4.695687473006899,5.0224163770410595,4.8
1902F4004_026,4.74929161835046,4.1192592129084336,4.641406270239902,4.7774649616856815,4.8
1902F4004_029,5.2849824951619135,5.265818588915018,4.8890208530306944,4.933806525204037,4.4
1902F4004_033,4.80218386042482,4.243928615152202,4.4973434677986655,4.817600582532095,5.0
1902F4004_034,4.789645681706657,4.185701262247413,4.094541198916428,4.814331406293508,4.2
1902F4004_042,4.950621714268173,4.033006893331273,3.5326166175046096,5.04133236857119,2.8
1902F4004_043,5.080975829712093,4.999318984388826,5.355734809173947,4.873171759947954,4.8
1902F4004_044,4.9221056070690805,4.456295828851151,3.9354280701144866,4.952241586956912,2.6
1902F4004_048,5.084611338180598,5.750428973035531,5.1415664664389675,4.881149758971749,5.4
1902F4004_050,5.9568236924888645,5.580719753988663,5.0387134661231014,4.796845676389016,5.6
1902F4004_052,5.284275101811396,4.7545468277666485,5.932996606891534,4.988818263289348,4.6
1902F4004_054,5.811847852556673,5.144683087716748,5.395253664283402,4.811158093949924,4.8
1902F4004_056,4.9127854622829945,4.835656329571536,4.3148076513103195,5.15472787460474,4.6
1902F4004_062,5.042024086996985,4.8770800848023335,5.047096376507743,5.139563623226583,5.6
1902F4004_065,5.504224874210166,5.002077283400256,5.833924920742124,5.149873830741381,6.4
1902F4004_068,5.175796765998307,4.57370469711096,5.594707809846018,5.0765077281006885,5.0
1902F4004_071,5.750770285002271,5.478021626435805,5.304895939275437,5.0221402836545135,5.2
1902F4005_003,5.184039295125693,4.453518349181087,5.211404735850393,5.188933954338285,4.4
1902F4005_004,4.843867238693868,3.9165423784727773,4.745935094590689,4.454241001585346,5.2
1902F4005_014,5.401007958982316,5.164634296581017,5.91625081377641,4.600406376617809,5.4
1902F4005_016,5.319199722664096,5.471907528431911,5.6072450885360094,4.711059474013541,5.6
1902F4005_026,5.045169764540848,4.941929383080224,4.974720334950637,4.732837655079763,5.4
1902F4005_032,4.957375700325497,4.054209561971067,3.8760138632364507,4.898156143182215,3.6
1902F4005_034,5.174017527894466,5.258188937036251,5.251861678491825,4.689626427732464,5.0
1902F4005_036,4.989955027722713,5.280472827130539,4.868717210158917,4.968845995724234,5.4
1902F4005_041,4.782687570330069,5.010643097577434,4.5654374419050585,4.408737793264854,4.8
1902F4005_043,5.118091625649129,4.368057079792045,4.886230453805204,4.689027604562319,4.4
1902F4005_044,5.447985382639432,5.253171649951027,5.271441186264732,4.959462618159189,5.4
1902F4005_046,5.2829164438655365,5.3038403909193015,4.6790376116070895,4.52872536610875,4.6
1902F4005_053,4.539671547859135,4.394982467487413,5.120377844226179,5.016606083087843,4.8
1902F4005_056,5.319931165494975,5.250552960538102,3.5954129541467106,4.666898552330501,2.8
1902F4005_057,4.702059748538288,4.55684551496444,4.493822756462314,4.816934121883039,3.6
1902F4005_058,4.759293147799136,3.8247732081680974,4.5654374419050585,4.5801340431620305,3.4
1902F4005_060,4.686869821991621,4.215064763383952,4.5654374419050585,4.519085568870928,4.6
1902F4005_065,4.999382102579789,4.313692088442534,3.376925289952053,4.820285350706959,3.0
1902F4005_066,4.575448962950641,4.4834683880879735,4.6324685965960795,4.864962033541798,5.0
1902F4005_069,4.973949479139461,5.052624638547698,4.668599953936279,5.136847121519638,5.6
1902F4005_071,5.103430844220024,5.020982977966518,4.846539291243739,4.684886298371789,5.4
1902F4005_074,5.77250875155463,5.0927196036887326,6.189439033303646,5.059890087843973,5.2
1902F4005_080,5.113782609689569,4.765063737829812,5.0664759602577805,4.7226153838322515,3.0
1902F4005_081,5.435689351363477,4.9621503819148485,5.0594211052037705,4.860435161260725,5.2
1902F4005_082,5.64603219561096,5.16133912963587,5.959396241719565,4.7919306196549245,6.2
1902F4005_084,5.484793609061667,5.146190566357904,5.7117611557927725,4.957003404081084,5.8
1902F4006_003,4.783494012976438,4.608068777001224,5.091237385804543,5.090171007963008,4.6
1902F4006_004,4.714986070538804,4.685149653863553,4.888286601341723,4.96778110154601,5.2
1902F4006_013,5.084280745227061,5.046176495618836,5.618088837119464,4.859300066896389,5.6
1902F4006_014,4.898599390317381,4.608517592574696,5.086767006893537,4.97943296369179,5.8
1902F4006_017,4.622119077134675,4.322029022013814,4.7935032300970075,4.860574527088222,6.4
1902F4006_018,4.700090501803148,4.312603487475959,4.990118084815353,4.976825917756547,5.8
1902F4006_026,4.820336362679786,5.182292627828291,3.877809079014383,4.735693046489287,3.0
1902F4006_032,4.717081879456447,3.765551787264302,5.274453136487879,4.736906357456466,2.8
1902F4006_035,4.628101348779105,4.946220517279301,4.794460989111305,5.005483612804817,4.8
1902F4006_036,5.035207768457476,5.378401229323227,5.333805238887922,5.072743803399232,4.8
1902F4006_037,4.818024523211296,4.596267825756697,5.253739401345502,4.94586354041063,5.8
1902F4006_045,5.242972130051211,4.99698570331154,5.933758019243862,4.847857399835904,5.8
1902F4006_048,4.989818099115409,5.343911383223323,4.903064852766519,5.024467760283909,4.8
1902F4006_049,4.6198963224600815,4.024849507786491,4.809315828124984,4.83964174081888,3.8
1902F4006_054,4.757944961527885,4.699854511334694,5.59018490257269,4.276850419072195,5.2
1902F4006_061,4.888438030332641,5.290384222462347,3.6546458293829382,4.793302564659388,3.4
1902F4006_063,5.004795565677708,4.96616460857264,4.888489751346595,4.8281741407680165,4.6
1902F4006_065,4.955283841503497,5.008954327196445,5.094994793273777,4.679328590731183,4.4
1902F4006_068,4.7690250988041285,5.347491881420904,4.903064852766519,4.807051584527107,4.4
1902F4006_070,4.96505543078677,5.181928507309783,4.044624836217119,4.502038180783286,3.8
1902F4006_072,4.91848420918801,4.825112423800243,4.121646993329395,4.923252453506428,2.8
1902F4006_075,4.730001994703078,5.0760324232889396,5.041970587221322,5.027479669725224,4.8
1902F4006_077,5.677482122402159,5.305555140846122,5.525566829797789,5.004942299118773,5.8
1902F4006_079,4.780868596381508,4.78983530688263,3.698021791320055,4.909653537780985,3.4
