name,d,v,t,f,label,fusion_pred
1902F4001_001,4.050111322949807,4.2056015422319755,4.081627276858224,4.273720624826316,4.4,4.070986748431022
1902F4001_002,4.300558909871729,4.233920446445452,4.691540562040017,4.310522069737289,4.4,4.271385726601183
1902F4001_003,4.771688827044031,4.0590737034578215,4.8874981638770665,4.762944662460488,4.4,4.522462658780249
1902F4001_004,4.700667286874245,4.242237873817402,4.933059768657632,4.864232711811583,4.4,4.613818284101758
1902F4001_005,5.089711141063868,4.424311026774878,5.258178630882545,5.252408024632309,4.6,5.001060087274625
1902F4001_006,4.299958379867531,4.45313742380436,4.818473855266597,5.107476579668997,5.2,4.618576024268192
1902F4001_007,4.180414339835206,3.9716170952464407,4.226768392062277,5.291228671764621,5.0,4.297813005286575
1902F4001_008,3.6313989275372487,3.86916511575891,4.081627276858224,4.135259807403628,4.0,3.8554003585962597
1902F4001_009,3.6306195494943214,3.8551263003506833,4.081627276858224,4.16793101207852,4.0,3.8558480951939065
1902F4001_010,4.840942487540644,4.593097742770161,5.3001046795243445,5.008429592901795,5.2,4.928212884835881
1902F4001_011,5.2277034874450425,4.706121605096121,5.250141243480898,5.105171036272133,4.6,5.070819676501785
1902F4001_012,4.793912344801566,4.781308698962898,4.972251737498816,5.2903162441128915,4.0,4.969567493464132
1902F4001_013,4.583731961526713,4.435555221188653,4.388022496803957,5.098969172366872,3.2,4.574511295709026
1902F4001_014,4.618927319764109,4.385133273499276,4.081627276858224,4.910751031231934,3.2,4.4402361417655545
1902F4001_015,3.636088181598268,3.7941068093387904,4.081627276858224,3.8904877623533856,4.0,3.8063182953949792
1902F4001_016,5.303084508794338,4.752258760168135,4.8635198419088885,5.346083070904339,5.0,5.068666174383038
1902F4001_017,5.467096855069926,4.780239901451869,5.102263133190993,5.4317995845025715,5.4,5.207124768731506
1902F4001_018,4.824544622969103,4.5218208438396825,4.880214694860432,5.315130045142167,5.8,4.874126726529026
1902F4001_019,5.440719320447623,4.949170170061024,5.1666327569129455,5.707271881203207,6.2,5.342505606165437
1902F4001_020,4.499071124183958,3.793463519821388,4.081627276858224,4.432652068395449,4.8,4.100725934183717
1902F4001_021,4.560993449119317,4.158976824480591,4.081627276858224,4.904848732735932,5.2,4.351794196537352
1902F4001_022,3.637712238150456,3.8794998926771225,4.081627276858224,4.348821025795137,4.0,3.891280843796162
1902F4001_023,4.958261792070986,4.1327699662908035,4.081627276858224,4.449035010602747,4.8,4.317881935057312
1902F4001_024,4.968308199687242,4.420602332349401,4.677566338171327,5.087605696127081,4.6,4.749364436474358
1902F4001_025,3.6313989275372487,3.729097078556928,4.081627276858224,4.210569340239018,4.2,3.826384229459275
1902F4001_026,4.816285837202459,4.3869718052497095,5.280794887910673,5.491819575424482,5.4,4.992965959004768
1902F4001_027,5.040308044595975,4.717512696699155,5.059441406856219,5.354909687431207,5.2,5.058668025330255
1902F4001_028,5.552406358348291,4.889701931341062,5.5395127333297625,5.594754690437805,5.8,5.420957365811324
1902F4001_029,4.102152285376505,3.90964658783548,4.081627276858224,4.766385289791488,4.2,4.1032290013107735
1902F4001_030,5.484927624151263,4.577154738492482,5.79404539041634,5.2952968966614815,5.2,5.299446962937859
1902F4001_031,3.636088181598268,3.795940228542508,4.081627276858224,4.1080439905149975,4.2,3.8326645046659844
1902F4001_032,4.196125289138733,4.492231939663673,4.45845190687118,4.265190705020712,4.8,4.257325477614124
1902F4001_033,3.6227510555177354,3.9202976394079148,4.081627276858224,3.9167070874179646,4.0,3.8385921495014466
1902F4001_034,3.6313989275372487,3.8762943795485496,4.081627276858224,4.293231382843376,4.0,3.8803009038987635
1902F4001_035,3.632964541335451,3.7106967017772168,4.081627276858224,4.229752488407278,4.0,3.8240469968215187
1902F4001_036,5.1751414556629705,4.393830242301535,4.937942516910861,5.514329377556125,5.2,4.999622800641722
1902F4001_037,5.479996245732822,4.752376844615711,5.252799861925821,5.426650919636908,6.4,5.243581071780452
1902F4001_038,4.127732768683736,3.8625976917987823,4.081627276858224,4.184589576344028,4.2,3.9748535404577545
1902F4001_039,4.729881703806094,3.821257616525236,4.081627276858224,4.5086061238611395,4.0,4.188432896883013
1902F4001_040,5.369311483683179,4.577229548133282,5.511595798639816,5.42037011920974,5.4,5.240473819096256
1902F4001_041,5.217272563596295,4.7962521859778295,5.490386040751819,5.000461343555458,5.6,5.12684979540712
