exchgID,speaker,UI3,utterance
0,S,o, *** これからアニメ・漫画の話をしましょう***
0,U,4.0,はい．
1,S,x, そうなんですね．新しい知識が増えました！ありがとうございます！
1,U,3.0,何も言ってないです．
2,S,o, おすすめのアニメってありますか？
2,U,4.0,メジャーとかですかね．
3,S,o, そのほかにおすすめのものはありますか？
3,U,4.0,あまりみないですね．
4,S,t, 具体的に教えてもらっていいですか？
4,U,3.5,メジャーなら話せますけど．
5,S,t, そうですか、なかなかですね。
5,U,3.0,よくわかりません．
6,S,o, *** これから旅行の話をしましょう***
6,U,4.0,はい，
7,S,o, 旅行に行くときはなにか目的はありますか？
7,U,4.5,美味しいもの食べるのが目的になりつつあります．
8,S,o, なるほど、面白そうですね！
8,U,4.5,そうですね．日本の料理は美味しいです．
9,S,t, たとえば、たてものをみる、とか美術館にいく、とか、おいしいものをたべるとか・・
9,U,4.5,まあ，観光名所にも言ったりはしますね．
10,S,o, さいきん旅行には行きましたか？
10,U,5.0,東京に行きました．
11,S,t, 先日、旅行にいったしりあいが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです・・
11,U,4.0,美術館はそこまで興味ないですね．
12,S,x, 具体的にはどういったものですか？
12,U,3.0,よくわかりません．
13,S,x, なるほど、それはリラックスできますね。
13,U,2.0,？
14,S,o, 今までいった「旅行」で特におすすめの場所はありますか？
14,U,4.0,新潟とかはいいと思います．
15,S,o, *** これから休日の過ごしかたの話をしましょう***
15,U,3.0,はい．
16,S,x, すみません。なにか言いかけましたか？
16,U,4.0,いや，何も
17,S,x, 具体的にはどういったものですか？
17,U,4.0,休日はバイトや外食をします．
18,S,x, 具体的にはどういったものですか？
18,U,4.0,バイトはカラオケ屋で，外食は居酒屋が多いですね．
19,S,x, すみません。なにか言いかけましたか？
19,U,3.0,なにも
