exchgID,speaker,class,theme,UI3,utterance
000,S,-,-,-, *** これから食事の話をしましょう***
000,U,-,-,4.0,はい
001,S,1,default,-, なるほど、そうなんですね・・
001,U,-,-,3.0,なにがですか？
002,S,4,default,-, 具体的にはどういったものですか？
002,U,-,-,3.0,食事のことですか？
003,S,1,食事,-, そうですか。最近はまっている食べ物はありますか・・
003,U,-,-,4.0,海鮮料理はまっています
004,S,2,default,-, それは大変ですよね。
004,U,-,-,4.0,高いから大変です
005,S,3,食事,-, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
005,U,-,-,4.0,チョコが大半ですかね
006,S,-,-,-, *** これから学校の話をしましょう***
006,U,-,-,4.0,はい
007,S,2,default,-, それは面白そうですね。
007,U,-,-,3.0,何も言ってないです
008,S,2,default,-, それは面白そうですね。
008,U,-,-,2.0,はい？
009,S,1,default,-, そうなんですか．
009,U,-,-,2.0,はい
010,S,1,default,-, 楽しそうですね！
010,U,-,-,2.0,何も言ってないです
011,S,3,学校,-, ほかにエピソードはありますか？
011,U,-,-,2.0,ないです．
012,S,-,-,-, *** これから休日の過ごしかたの話をしましょう***
012,U,-,-,3.0,はい
013,S,1,default,-, たのしそうですね。
013,U,-,-,3.0,休日ですか？
014,S,2,default,-, なるほど、それは面白そうですね。
014,U,-,-,2.0,そうですね
