exchgID,speaker,class,theme,UI3,utterance
000,S,-,-,-, *** これから学校の話をしましょう***
000,U,-,-,4.0,はい
001,S,3,default,-, ほかには、ありますか？
001,U,-,-,3.0,なにがですか？
002,S,1,default,-, 素敵な趣味ですね。
002,U,-,-,3.0,何も言ってないです
003,S,1,学校,-, 面白かったんですね！
003,U,-,-,2.0,はあ
004,S,1,default,-, なるほど、そうなんですね・・
004,U,-,-,2.0,はい
005,S,3,学校,-, ほかにたいへんだったことはありますか？
005,U,-,-,3.0,テスト勉強とか
006,S,-,-,-, *** これから旅行の話をしましょう***
006,U,-,-,3.0,はい
007,S,3,旅行,-, 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？
007,U,-,-,4.0,知ってますよ
008,S,3,旅行,-, ほかには何か面白いことはありましたか？
008,U,-,-,4.0,最近九州に行きました
009,S,1,default,-, 大変ですよね。
009,U,-,-,4.0,電車で行ったので大変でしたね
010,S,0,旅行,-, たとえば、たてものをみる、とか美術館にいく、とか、おいしいものをたべるとか・・
010,U,-,-,4.0,美味しいものは食べてました
011,S,1,default,-, そうなんですか．
011,U,-,-,4.0,はい
012,S,-,-,-, *** これから映画の話をしましょう***
012,U,-,-,4.0,はい
013,S,1,default,-, なるほど、よくご存じですね・・
013,U,-,-,3.0,何も言ってないです
014,S,3,映画,-, 邦画が好きなんですか，おすすめの邦画ってありますか？
014,U,-,-,4.0,最近ジブリ見ました
