exchgID,speaker,class,theme,UI3,utterance
000,S,-,-,-, *** これから学校の話をしましょう***
000,U,-,-,4.0,はい
001,S,3,学校,-, 運動会や、学芸会などのイベントで面白かった体験はありますか？
001,U,-,-,4.0,大縄で全然飛べなかったことですかね
002,S,2,default,-, それは大変ですよね。
002,U,-,-,4.0,みんなで息を合わせるのは難しいですよね
003,S,0,default,-, そうなんですね．新しい知識が増えました！ありがとうございます！
003,U,-,-,4.0,はい
004,S,3,学校,-, 最近、学校にはいきましたか？
004,U,-,-,4.0,今日も来てますよ
005,S,2,学校,-, それはたいへんでしたね。
005,U,-,-,3.0,なにがですか？
006,S,4,default,-, 具体的に教えてください？
006,U,-,-,3.0,何を？
007,S,-,-,-, *** これから休日の過ごしかたの話をしましょう***
007,U,-,-,4.0,はい
008,S,3,default,-, ほかには、ありますか？
008,U,-,-,3.0,はい？
009,S,2,default,-, それは面白そうですね。
009,U,-,-,2.0,はあ
010,S,4,default,-, 具体的に教えてください？
010,U,-,-,3.0,何をですか？
011,S,2,default,-, それは大変ですよね。
011,U,-,-,2.0,はい
012,S,4,default,-, 具体的にはどういったものですか？
012,U,-,-,2.0,ないです
013,S,-,-,-, *** これから旅行の話をしましょう***
013,U,-,-,3.0,はい
014,S,0,旅行,-, たとえば、たてものをみる、とか美術館にいく、とか、おいしいものをたべるとか・・
014,U,-,-,3.0,美味しいものは食べに行きますね
