exchgID,speaker,class,theme,UI3,utterance
000,S,-,-,-, *** これから食事の話をしましょう***
000,U,-,-,4.0,はい
001,S,2,default,-, 具体的には何ですか？
001,U,-,-,3.0,何がですか？
002,S,0-6,default,-, すごいですね！
002,U,-,-,3.0,何も言ってないです
003,S,6,default,-, ありがとうございます。参考にさせていただきます。
003,U,-,-,2.0,何も言ってないです
004,S,0-6,食事,-, どこで食べられたんですか・・
004,U,-,-,2.0,何をですか？
005,S,0-6,default,-, ありがとうございました・・
005,U,-,-,2.0,はい
006,S,-,-,-, *** これから旅行の話をしましょう***
006,U,-,-,3.0,はい
007,S,0-7-9,default,-, なるほど、よくご存じですね・・
007,U,-,-,3.0,なんのことでしょう
008,S,6,default,-, 面白いですよね。
008,U,-,-,3.0,旅行は面白いですね
009,S,0-7,default,-, なるほど。
009,U,-,-,3.0,行ってみてください
010,S,0-7-9,default,-, なるほど、よくご存じですね・・
010,U,-,-,2.0,はあ
011,S,0-6,default,-, ありがとうございました・・
011,U,-,-,2.0,はい
012,S,-,-,-, *** これからスポーツの話をしましょう***
012,U,-,-,3.0,はい
013,S,0-6,default,-, ありがとうございました・・
013,U,-,-,3.0,話をしませんか
014,S,0-7-9,default,-, なるほど、よくご存じですね・・
014,U,-,-,3.0,何も言ってないです
