exchgID,speaker,class,theme,UI3,utterance
000,S,-,-,-, *** これから食事の話をしましょう***
000,U,-,-,4.0,はい
001,S,1-4,食事,-, お友達とランチに行ったりしますか？
001,U,-,-,5.0,夜ならよく行きますね
002,S,0-6-7,default,-, そうですね・・ぜひ参考にさせていただきます。
002,U,-,-,4.0,はい．行ってみてください
003,S,1-4,食事,-, からい食べものとはどんな食べものが好きですか？
003,U,-,-,4.0,キムチとか好きです．
004,S,1-4-9,食事,-, どんなところに行きますか？和食ですか洋食ですか？
004,U,-,-,4.0,洋食の方が多いですかね
005,S,1-4,食事,-, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？
005,U,-,-,5.0,自分もさきいか好きです．お酒とともに食べます．
006,S,2-9,default,-, それのどういったところが好きなんですか？
006,U,-,-,5.0,味付けと噛み応えですかね
007,S,8,食事,-, たくさんおしゃべりをすると、楽しくて、ストレスが発散できるようですね。
007,U,-,-,3.0,なんのことでしょう
008,S,1-4,食事,-, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
008,U,-,-,4.0,デパートはいかないですけど，コンビニなら行きます
009,S,6,食事,-, いい思い出だったようです。
009,U,-,-,4.0,なにがですか？
010,S,1-4,食事,-, なるほど、普段はどこでスイーツを買いますか？
010,U,-,-,4.0,コンビニかスーパーですね
011,S,-,-,-, *** これから旅行の話をしましょう***
011,U,-,-,4.0,はい
012,S,1-4-9,旅行,-, 今までいった「旅行」で特におすすめの場所はありますか？
012,U,-,-,5.0,九州はいいところでした
013,S,2,default,-, そのほかで、おすすめのものはありますか？あったら教えてください．
013,U,-,-,5.0,新潟も食べ物が美味しくていいと思います
014,S,8,default,-, そうなんですね．新しい知識が増えました！ありがとうございます！
014,U,-,-,5.0,ぜひ行ってみてください
