exchgID,speaker,class,theme,UI3,utterance
000,S,-,-,-, *** これから食事の話をしましょう***
000,U,-,-,4.0,はい
001,S,pa,default,-, たのしそうですね。
001,U,-,-,4.0,食べることは楽しいですよ
002,S,pa,食事,-, とても美味しそうですね。今度知りあいにもすすめてみようと思います・・
002,U,-,-,4.0,ぜひそうしてください
003,S,pa,default,-, たのしそうですね。
003,U,-,-,3.0,楽しいですよ
004,S,io,食事,-, 私の友人はあんこ系が好きだそうです。あずきときなこは、体や肌にいいそうで、よく食べてるそうです・・
004,U,-,-,4.0,あんこはたまに食べると美味しいですね．
005,S,pa,default,-, そうなんですね．新しい知識が増えました！ありがとうございます！
005,U,-,-,4.0,和菓子もいいですよね
006,S,-,-,-, *** これからスポーツの話をしましょう***
006,U,-,-,4.0,はい
007,S,pa,default,-, なるほど、それは面白そうですね。
007,U,-,-,3.0,まだ何も言ってないです
008,S,oa,default,-, はい、そうです。
008,U,-,-,3.0,スポーツの話しましょう
009,S,oa,default,-, そうなんですか．私も独自に調べてみますね．
009,U,-,-,3.0,そうしてください．
010,S,oa,default,-, ありがとうございます。
010,U,-,-,4.0,どういたしまして．
