exchgID,speaker,class,theme,UI3,utterance
000,S,-,-,-, *** これから食事の話をしましょう***
000,U,-,-,4.0,はい
001,S,1-6-8,食事,-, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
001,U,-,-,4.0,デパートに行くことは滅多にないですが，コンビニならスイーツ買いによく行きます
002,S,5,食事,-, 私の友人はあんこ系が好きだそうです。あずきときなこは、体や肌にいいそうで、よく食べてるそうです・・
002,U,-,-,5.0,あんこはたまに食べると美味しいですね．
003,S,0,食事,-, それは「最近」食べられたんですか？
003,U,-,-,5.0,大福みたいなものをこないだ食べました
004,S,3,default,-, なるほど、そうなんですね。
004,U,-,-,5.0,美味しかったです
005,S,3,default,-, なるほど、そうなんですね。
005,U,-,-,4.0,ぜひ食べてみてください
006,S,1-6-8,食事,-, なるほど、普段はどこでスイーツを買いますか？
006,U,-,-,4.0,コンビニかスーパですね
007,S,5,食事,-, たくさんおしゃべりをすると、楽しくて、ストレスが発散できるようですね。
007,U,-,-,4.0,話しながらスイーツ食べるのは気分転換になりますよね
008,S,1-8,default,-, どういったところが好きなんですか？
008,U,-,-,4.0,とにかくスイーツが美味しいところです
009,S,2-9,食事,-, とても美味しそうですね。今度知りあいにもすすめてみようと思います・・
009,U,-,-,4.0,ぜひそうしてください
010,S,1-6-8,食事,-, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？
010,U,-,-,5.0,お酒と一緒におつまみ結構食べますね
