name,sys_utterance,user_utterance,UI3average,UI3average_diff,user_utterance_len
1902F6002_033, 1964年以来56年ぶりの日本でのオリンピック開催で，たくさんの競技が行われるのでいってみたいものですね！,そうですよねチケット取るの大変かもわからないけれども見てみたいですよねパラリンピック,5.2,0.6000000000000005,42
1902F4010_031, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？,はいそのようですね,4.8,0.0,9
1902M3001_055, 「エスエヌエス」のともだちと実際に、会ったことはありますか・・,山田がいいですね,4.0,-1.5999999999999996,8
1902M3001_054, 「エスエヌエス」を利用して、何か面白かったことはありますか・・,でもやってるんですけどそのゲームを一緒にやる人との繋がりが Twitter で広まっていったよ出るのは魔女の船何をやってるかとカカオとか煮詰め分からないですけどまネットを通じて知り合って参ります,5.6,0.39999999999999947,95
1902F4002_047, 「エスエヌエス」を利用していてハプニングにあったことはありますか？,ハプニング SNS でハプニング ハプニングというほどではないけどやっぱりあの 文字だけでの絵文字とか性能とか画像とのやり取り画像だけのやり取りなって ちょっと意味が伝わらなくてもっかい後で考えてちょっと違う風に伝わったかなーって思うときはありませんだからそれを ちょっとストレス,3.6,-0.19999999999999973,134
1902F4001_030, 「映画館」か「テレビ」かどちらでよく映画をみますか？,他に7回目ってすごいみたいですやっぱり映画館に行ってみます映画館で見るのも外で会った時は家でちょっと時間を買ってくからですけど,5.2,1.0,63
1902F7003_046, 「温泉」などリフレッシュするためにいきますか？,温泉ですか近くにあるんですけどもう温泉は行きませんね本当は行ったらいいと思うんですけども温泉は行ってませんね,3.0,-2.2,54
1902F7001_053, あまり見ないんですね。では、今までに見た中で一番好きなドラマはありますか？,一番好きなドラマあまり覚えてないですあまり印象に残るような感じもありませんでしたので見てるのは見てるんですけど,3.0,-0.7999999999999998,55
1902F2002_045, あまり読まないんですね。では今までに読んだ中で一番好きな本はありますか？,質問はないんですけど怒りや右心は誰もハラハラして楽しめました,5.6,1.5999999999999996,30
1902F3001_033, ありがとうございました・・,ミュージックといういろんな曲を聴いてから着るものも得られる感じなので別のアプリとか試していただいたらみんなそれぞれ好きなのが選べるじゃないかな,4.8,1.1999999999999995,71
1902M4003_020, ありがとうございます。,ありがとうございます,4.0,0.0,10
1902F4010_030, ありがとうございます。参考にさせていただきます。,はいおすすめします,4.8,-0.20000000000000012,9
1902M5003_065, いいですね。テレビ観戦も楽しそうですね！,そうですねくつろぎながら見れるのもいいと思います,5.0,0.20000000000000012,24
1902F4010_047, いいですね，とても興味深いです！,はい面白いです,4.4,-0.7999999999999998,7
1902M5002_081, いいですね，私も使ってみたいです！,買ってきてください,4.6,-0.20000000000000012,9
1902F4010_064, いいですね．使ってみると面白そうですね！,紙で管理するのでないので便利そうです,5.0,0.20000000000000012,18
1902F4010_020, いい思い出だったようです。,そうですね懐かしい味のようですね,3.8,0.19999999999999973,16
1902F4005_027, いつもはどんなジャンルのゲームをするんですか？,子供がまたそんなにテレビゲームスマホ触ったりとか B とかやらないのでボードゲームをやっています人生ゲームとか,5.4,0.0,53
1902F2002_099, いぬがたのロボットで、とてもかわいがる人もいるようです。,＊,3.2,0.4000000000000004,1
1902F4006_026, おすすめのアニメってありますか？,おすすめはないですごめんなさい,3.0,-1.2000000000000002,15
1902F4004_050, おすすめの便利なきのうとかはありますか？,そうですねやはり自分が気になった人をフォローしていると情報がいろいろ流れてくるので便利です探しに行かなくてもその情報を探しに行かなくてもいいので便利ですね,5.6,-0.20000000000000012,77
1902F4004_043, おすすめの映画ってありますか？,そうですね昔の映画になるけれどタイタニックとかが好きおすすめです,4.8,2.0,32
1902F3002_040, おすすめの曲はありますか？,目の曲サカナクションとか魚とか撮れてますよちょっと元気があるんですサカナクション僕と花,5.4,0.0,43
1902M5003_050, おすすめの歌手やきょくってありますか？,そうですね浜田省吾もうマネーとかチェリーボーイっていう歌が好きです,5.4,0.20000000000000012,33
1902M4003_026, おすすめの漫画ってありますか？,はじめの一歩バラモン格闘関係の曲がります,5.2,1.2000000000000002,20
1902F7002_015, おばあちゃんがよく家で出してくれていたと言っていました。,おばさんですけど今使います作りません,5.2,-0.5999999999999996,18
1902F3002_015, お友達とランチに行ったりしますか？,ランチはあんまり行かないですけどたまにぐらいです,5.2,0.20000000000000012,24
1902F4005_046, お子さんとはよく公園で遊びますか？,そうですね最近は寒いのであまり公園で遊ば,4.6,0.1999999999999993,20
1902F4005_047, お子さんと遊ぶのは体力が必要で、大変ですよね。,そうですねもう体力は子供の方があると思います,5.2,0.6000000000000005,22
1902F4003_010, からい食べものとはどんな食べものが好きですか？,買い物気分になるか今の季節だったらお子様からお酒には後ろからとかそういうのが結構好きです,5.8,1.0,44
1902F6002_043, がっきは何を演奏するのですか。,若い時はフルートを習っていました,5.6,0.1999999999999993,16
1902F7003_027, これからの季節は暖かくなるので、散歩などは気持ちがいいですよね。,はいそうですねめいちゃんも散歩してください,6.0,0.4000000000000004,21
1902M3001_058, これは「おすすめ」というものはありますか？,そうですねは気になる情報を検索したら何かしら作られている人がいるので将来役に立つことがたまにありますでも玉石混合なのでろくでもないと思いますけどね,4.6,0.5999999999999996,73
1902F4004_048, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？,そうですね最近はツイッターを見たり少し前までは Facebook をしたりしてました,5.4,1.4000000000000004,40
1902F7003_038, さいきんドラマは見ましたか？,ドラマですか今日この頃70代になってきたらあまりにドラマに興味がなくて本を読んでるほうが良くなってきたのでありドラマは見ないですね主人は時代劇を見てますけれども時代劇もあまり興味がないのでそこが入ってないとかと思います,3.4,-0.6000000000000001,109
1902F7003_045, さいきん旅行には行きましたか？,旅行には行けないですねどう言ったらいいのかもうお友達は海外に移動そこに入ってきたとか海外に行ったあのお話も多いですし海外に行ったあの子を書かれる方もいらっしゃるんですけれども私はやっぱり負けないで皆こともあるんだと思いますけれども日本の中入ってないとことかいっぱいあるのであのの絵画に行くのは多分70代なので飛行機に乗るのかしんどいと思うのでそれよりも電車にゴトゴトゴトゴト揺られながらの見知らぬ街を訪ねてみたいと本当に素朴な街を訪ねてみたいとかそういう風なあの旅旅行っていうより旅っていう言葉が好きですけどそういう風な旅に出たいですね,5.2,1.2000000000000002,268
1902F4004_066, すごいですね。,貴重な経験っていう体験でした,5.0,-1.4000000000000004,14
1902F6002_044, すごいですね。一度聞かせていただけるとうれしいです。,全然してないので音が出るかどうかも,6.0,0.4000000000000004,17
1902M5002_079, すごいですね！,そうですか,4.2,-1.2000000000000002,5
1902F4010_091, すごい！,はい大変でした,3.4,-1.4,7
1902F4004_064, すごい！面白い体験をされましたね!,そのすごい綺麗かったです是非見てもらいたいね,6.4,0.6000000000000005,22
1902F4009_059, するのが好きなんですね．最近はどちらでそのスポーツを楽しみましたか？,言わんですけど毎週行きますよ,5.6,0.39999999999999947,14
1902F4011_034, そういった番組も面白いですよね。,今度なりますよ,4.6,0.5999999999999996,7
1902F4010_016, そうですか、とても美味しそうですね・・,はいおすすめします,5.2,-0.20000000000000012,9
1902M5003_042, そうですか、なかなかですね。,なかなかですね,4.8,-1.0,7
1902F4003_038, そうですか、残念です・・,＊,3.4,0.6000000000000001,1
1902M4001_067, そうですか、貴重な体験談をありがとうございました。,＊,5.4,-0.7999999999999998,1
1902M4001_052, そうですか、貴重な体験談をありがとうございました・・,あれございます,5.2,-0.7999999999999998,7
1902F4007_030, そうですか。そのスポーツはテレビで鑑賞はされますか・・,そうですねあんまりスポーツ自体を治すのルールとかもあんまり知らないと言ったらフィギュアスケートそうですねそれぐらいですかね,3.8,0.0,61
1902M5003_064, そうですか。テレビでの観戦はなされるんですか？,そうですねテレビでも是非完成したいと思います,4.8,-0.20000000000000012,22
1902F7002_012, そうですか。最近はまっている食べ物はありますか・・,はまっている食べ物何でも食べますから後分かりません,3.6,-1.4,25
1902F3001_045, そうですか，いいものが見つかるといいですね．,心地が快適ですね欲しいものの後水買ってすぐポチっとお買い物できるので使い心地がいいです,5.2,0.20000000000000012,43
1902F6001_070, そうですか，では一度独自で調べてみますね！,＊,3.6,0.3999999999999999,1
1902F7003_015, そうですね、わかります。,＊,4.0,-1.5999999999999996,1
1902F4008_072, そうですね。,大学の時に東京で植物採集をしなきゃいけなくってと夏休み山2週間があって植物採集しました大変だったけど今振り返ったらすごい面白かったですね,6.0,1.5999999999999996,68
1902M4001_042, そうですね・・ぜひ参考にさせていただきます。,＊,3.8,-2.6000000000000005,1
1902F4004_029, そうなんですか，その作品はおすすめですか？,そこそこおすすめです5代が好きなので全員にお勧めというわけにはいかないです,4.4,-0.7999999999999998,37
1902F2002_034, そうなんですか，では先程おすすめされたものをみんなに伝えてみますね！,＊,4.4,-1.0,1
1902M4002_065, そうなんですか．,＊,3.2,-0.5999999999999996,1
1902F2001_042, そうなんですか．それでは一度独自で調べてみたいと思います．,＊,2.8,-0.6000000000000001,1
