ID,t1,t2,t3,t4,t5,t6
F01,1,16,35,47,59,73
F02,1,12,24,37,49,63
F03,1,13,27,40,53,66
F04,1,17,33,47,60,75
F05,1,14,28,40,54,65
F2006,1,15,26,39,50,70
F2010,1,14,28,42,53,66
F2018,1,16,30,43,57,68
F2019,1,14,29,42,54,71
F3013,1,15,29,42,54,66
F3016,1,16,30,47,63,76
F3030,1,22,37,52,65,86
F4002,1,16,27,40,52,64
F4011,1,16,31,45,57,71
F4012,1,15,30,43,59,73
F4017,1,16,30,41,53,67
F4027,1,15,29,42,55,69
F5008,1,16,27,41,53,67
F5014,1,15,30,45,60,74
F5026,1,14,27,41,54,69
M06,1,15,27,38,50,63
M07,1,15,28,41,54,67
M08,1,16,27,40,52,68
M09,1,14,27,40,51,63
M10,1,13,26,37,49,65
M2007,1,16,31,45,57,69
M2021,1,14,32,44,56,69
M2024,1,16,33,51,63,77
M2028,1,16,30,44,56,69
M2029,1,15,30,47,63,76
M3001,1,15,30,43,55,67
M3005,1,15,27,41,56,67
M3009,1,13,26,40,53,67
M4004,1,16,28,41,53,67
M4015,1,16,33,46,61,75
M4020,1,15,32,45,58,72
M4022,1,15,31,44,60,75
M4025,1,16,33,47,61,75
M5003,1,17,28,42,57,70
