name,reaction,lenS,lenU,lendiff,io,na,oa,op,pa,qw,qy,su,label
F01_002,808.0,24.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,o
F01_003,357.0,30.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,o
F01_004,678.0,31.0,13.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,o
F01_005,859.0,17.0,19.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,o
F01_006,252.0,17.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,o
F01_007,487.0,19.0,2.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,o
F01_009,1.0,31.0,6.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,x
F01_010,984.0,28.0,5.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,o
F01_011,474.0,41.0,2.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,o
F01_013,6000.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,o
F01_014,137.0,46.0,0.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,x
F01_015,698.0,15.0,5.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,o
F01_017,6000.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,o
F01_018,385.0,16.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,o
F01_019,537.0,9.0,25.0,-16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,o
F01_020,2340.0,17.0,54.0,-37.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,o
F01_021,6000.0,17.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,o
F01_022,59.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,o
F01_023,659.0,18.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,o
F01_024,3032.0,23.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,o
F01_025,252.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,o
F01_026,316.0,23.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,x
F01_027,6000.0,48.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,o
F01_028,126.0,46.0,0.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,o
F01_029,384.0,60.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,x
F01_030,376.0,26.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,x
