name,theme_index,agent_utterance
1902F2001_016,6, 具体的にはどういったものですか？
1902F2001_066,9, 具体的にはどういったものですか？
1902F2002_047,5, 具体的にはどういったものですか？
1902F3001_057,9, 具体的にはどういったものですか？
1902F4005_013,4, 具体的にはどういったものですか？
1902F4006_050,7, 具体的にはどういったものですか？
1902F4006_056,13, 具体的にはどういったものですか？
1902F4007_015,6, 具体的にはどういったものですか？
1902F4009_017,8, 具体的にはどういったものですか？
1902F4010_014,6, 具体的にはどういったものですか？
1902F4011_013,6, 具体的にはどういったものですか？
1902F6002_072,8, 具体的にはどういったものですか？
1902F7001_023,4, 具体的にはどういったものですか？
1902M2001_042,2, 具体的にはどういったものですか？
1902M3001_069,4, 具体的にはどういったものですか？
1902M5002_018,10, 具体的にはどういったものですか？
1902M7001_034,4, 具体的にはどういったものですか？
1902M7001_080,7, 具体的にはどういったものですか？
1902M7002_029,4, 具体的にはどういったものですか？
1902F2001_017,7, なるほど、その中でもおすすめのスイーツはありますか？
1902F2002_012,5, なるほど、その中でもおすすめのスイーツはありますか？
1902F3001_012,5, なるほど、その中でもおすすめのスイーツはありますか？
1902F3002_012,5, なるほど、その中でもおすすめのスイーツはありますか？
1902F4002_013,4, なるほど、その中でもおすすめのスイーツはありますか？
1902F4004_011,4, なるほど、その中でもおすすめのスイーツはありますか？
1902F4005_014,5, なるほど、その中でもおすすめのスイーツはありますか？
1902F4008_013,4, なるほど、その中でもおすすめのスイーツはありますか？
1902F4009_013,4, なるほど、その中でもおすすめのスイーツはありますか？
1902F4009_018,9, なるほど、その中でもおすすめのスイーツはありますか？
1902F4010_015,7, なるほど、その中でもおすすめのスイーツはありますか？
1902F4011_014,7, なるほど、その中でもおすすめのスイーツはありますか？
1902F7001_014,6, なるほど、その中でもおすすめのスイーツはありますか？
1902F7003_012,4, なるほど、その中でもおすすめのスイーツはありますか？
1902M2001_013,5, なるほど、その中でもおすすめのスイーツはありますか？
1902M3001_012,3, なるほど、その中でもおすすめのスイーツはありますか？
1902M4001_014,4, なるほど、その中でもおすすめのスイーツはありますか？
1902M4003_012,4, なるほど、その中でもおすすめのスイーツはありますか？
1902M7001_014,5, なるほど、その中でもおすすめのスイーツはありますか？
1902M7002_011,4, なるほど、その中でもおすすめのスイーツはありますか？
1902F2001_025,5, するのが好きなんですね．最近はどちらでそのスポーツを楽しみましたか？
1902F4009_059,2, するのが好きなんですね．最近はどちらでそのスポーツを楽しみましたか？
1902F7002_024,3, するのが好きなんですね．最近はどちらでそのスポーツを楽しみましたか？
1902F2001_029,9, そのほか健康のために、気をつけていることはありますか？
1902F4001_041,6, そのほか健康のために、気をつけていることはありますか？
1902F4006_065,5, そのほか健康のために、気をつけていることはありますか？
1902F4007_022,4, そのほか健康のために、気をつけていることはありますか？
1902F4009_062,5, そのほか健康のために、気をつけていることはありますか？
1902F4010_028,6, そのほか健康のために、気をつけていることはありますか？
1902F6001_030,6, そのほか健康のために、気をつけていることはありますか？
1902F6002_029,11, そのほか健康のために、気をつけていることはありますか？
1902F7001_025,6, そのほか健康のために、気をつけていることはありますか？
1902F7002_028,7, そのほか健康のために、気をつけていることはありますか？
1902F7003_029,7, そのほか健康のために、気をつけていることはありますか？
